,Link
0,http://www.youtube.com
1,http://www.imdb.com
2,http://www.espn.com
3,http://www.cnn.com
4,http://www.bbc.co.uk
5,http://www.spotify.com
6,http://www.deviantart.com
7,http://www.scribd.com
8,http://www.livejournal.com
9,http://www.foxnews.com
10,http://www.hulu.com
11,http://www.xfinity.com
12,http://www.ndtv.com
13,http://www.ign.com
14,http://www.rottentomatoes.com
15,http://www.cnbc.com
16,http://www.discogs.com
17,http://www.ultimate-guitar.com
18,http://www.urbandictionary.com
19,http://www.grammarly.com
20,http://www.pandora.com
21,http://www.ieee.org
22,http://www.npr.org
23,http://www.vice.com
24,http://www.archiveofourown.org
25,http://www.cbsnews.com
26,http://www.nbcnews.com
27,http://www.cnn.com
28,http://www.theatlantic.com
29,http://www.fanfiction.net
30,http://www.tmz.com
31,http://www.abc.net.au
32,http://www.cbc.ca
33,http://www.abcnews.go.com
34,http://www.directv.com
35,http://www.billboard.com
36,http://www.last.fm
37,http://www.wired.com
38,http://www.metacritic.com
39,http://www.newyorker.com
40,http://www.sky.com
41,http://www.deezer.com
42,http://www.rollingstone.com
43,http://www.azlyrics.com
44,http://www.variety.com
45,http://www.britishcouncil.org
46,http://www.hollywoodreporter.com
47,http://www.eonline.com
48,http://www.filmaffinity.com
49,http://www.cbs.com
