,Link
0,http://www.mit.edu
1,http://www.poetryintranslation.com
2,http://www.stoa.org
3,http://www.ancientscripts.com
4,http://www.textkit.com
5,http://www.brynmawr.edu
6,http://www.ancientgreece.com
7,http://www.classicalstudies.org
8,http://www.camws.org
9,http://www.upenn.edu
10,http://www.ascsa.edu.gr
11,http://www.cam.ac.uk
12,http://www.forumromanum.org
13,http://www.ox.ac.uk
14,http://www.osu.edu
15,http://www.harvard.edu
16,http://www.aclclassics.org
17,http://www.stanford.edu
18,http://www.uchicago.edu
19,http://www.njcl.org
20,http://www.ucla.edu
21,http://www.classicsunveiled.com
22,http://www.berkeley.edu
23,http://www.wisc.edu
24,http://www.rutgers.edu
25,http://www.wustl.edu
26,http://www.uc.edu
27,http://www.ubc.ca
28,http://www.ascs.org.au
29,http://www.ucpress.edu
30,http://www.fsu.edu
31,http://www.georgetown.edu
32,http://www.uoregon.edu
33,http://www.upenn.edu
34,http://www.washington.edu
35,http://www.cavclassics.org
36,http://www.jact.org
37,http://www.ijcl.org
38,http://www.classicalstudies.duke.edu
39,http://www.didaskalia.net
40,http://www.classics.illinois.edu
41,http://www.classics.missouri.edu
42,http://www.corinth.sas.upenn.edu
43,http://www.ontarioclassicalassociation.ca
44,http://www.pomoerium.eu
45,http://www.ancientnarrative.com
46,http://www.cams.psu.edu
47,http://www.classics.cornell.edu
48,http://www.classics.jhu.edu
49,http://www.shc.ed.ac.uk
