,Link
0,http://www.frieze.com
1,http://www.artforum.com
2,http://www.theartnewspaper.com
3,http://www.artsjournal.com
4,http://www.canadianart.ca
5,http://www.artreview.com
6,http://www.theimproper.com
7,http://www.churnmag.com
8,http://www.drunkenboat.com
9,http://www.maisonneuve.org
10,http://www.shakefire.com
11,http://www.artvilla.com
12,http://www.culturekiosque.com
13,http://www.foundmagazine.com
14,http://www.391.org
15,http://www.thescreamonline.com
16,http://www.newsandmediarepublic.org
17,http://www.zingmagazine.com
18,http://www.x-traonline.org
19,http://www.ducts.org
20,http://www.think-magazine.com
21,http://www.tanbou.com
22,http://www.catalystmedia.org.uk
23,http://www.fusemagazine.org
24,http://www.nmsantos.com
25,http://www.the-vu.com
26,http://www.artsandopinion.com
27,http://www.mungbeing.com
28,http://www.freeservers.com
29,http://www.artcult.fr
30,http://www.artisspectrum.com
31,http://www.bhag.net
32,http://www.borbonesa.co.uk
33,http://www.cakewalkmag.com
34,http://www.diamondpaper.net
35,http://www.echoesmagazine.com
36,http://www.esopusmag.com
37,http://www.h2so4.net
38,http://www.hillmag.com
39,http://www.gallerie.net
40,http://www.intrepidmedia.com
41,http://www.ionone.com
42,http://www.ishmaelreedpub.com
43,http://www.artbabyart.com
44,http://www.nthposition.com
45,http://www.oilzine.com
46,http://www.riksha.com
47,http://www.scribeweekly.com
48,http://www.thunderchunky.co.uk
49,http://www.turksheadreview.tumblr.com
