,Link
0,http://www.imdb.com
1,http://www.ign.com
2,http://www.rottentomatoes.com
3,http://www.filmaffinity.com
4,http://www.fandango.com
5,http://www.moviefone.com
6,http://www.indiewire.com
7,http://www.asianwiki.com
8,http://www.boxofficemojo.com
9,http://www.amctheatres.com
10,http://www.creativecow.net
11,http://www.roosterteeth.com
12,http://www.whatculture.com
13,http://www.movieweb.com
14,http://www.comicbookmovie.com
15,http://www.cinemark.com
16,http://www.rogerebert.com
17,http://www.regmovies.com
18,http://www.comingsoon.net
19,http://www.bloody-disgusting.com
20,http://www.bfi.org.uk
21,http://www.drafthouse.com
22,http://www.cineworld.co.uk
23,http://www.warnerbros.com
24,http://www.starwars.com
25,http://www.empireonline.com
26,http://www.odeon.co.uk
27,http://www.filmschoolrejects.com
28,http://www.myvue.com
29,http://www.thecinemaholic.com
30,http://www.joblo.com
31,http://www.topdocumentaryfilms.com
32,http://www.mpaa.org
33,http://www.tiff.net
34,http://www.criterion.com
35,http://www.foxmovies.com
36,http://www.what-song.com
37,http://www.darkhorizons.com
38,http://www.movieinsider.com
39,http://www.hoyts.com.au
40,http://www.nyfa.edu
41,http://www.allmovie.com
42,http://www.inoxmovies.com
43,http://www.filmsite.org
44,http://www.movietickets.com
45,http://www.tgv.com.my
46,http://www.traileraddict.com
47,http://www.the-numbers.com
48,http://www.landmarktheatres.com
49,http://www.withoutabox.com
