,Link
0,http://www.youtube.com
1,http://www.wimp.com
2,http://www.avid.com
3,http://www.pinnaclesys.com
4,http://www.borisfx.com
5,http://www.mediacollege.com
6,http://www.provideocoalition.com
7,http://www.aja.com
8,http://www.freespeech.org
9,http://www.videouniversity.com
10,http://www.studio1productions.com
11,http://www.vca.com
12,http://www.moviola.com
13,http://www.geniusdv.com
14,http://www.drastic.tv
15,http://www.dcrtv.com
16,http://www.sharbor.com
17,http://www.coremicro.com
18,http://www.expandore.com
19,http://www.miranda.com
20,http://www.newsreel.org
21,http://www.bavc.org
22,http://www.vdb.org
23,http://www.dctvny.org
24,http://www.hdhead.com
25,http://www.oceansystems.com
26,http://www.commedia.org.uk
27,http://www.eai.org
28,http://www.labdv.com
29,http://www.b-roll.net
30,http://www.media100.com
31,http://www.studenttelevision.com
32,http://www.sirentechnology.co.uk
33,http://www.maltaannon.com
34,http://www.imagingscience.com
35,http://www.future-micro.ca
36,http://www.capemedia.org
37,http://www.akaku.org
38,http://www.dvworkshops.com
39,http://www.northernvisions.org
40,http://www.video101course.com
41,http://www.openchannel.org.au
42,http://www.deepdishtv.org
43,http://www.suitedandbooted.org
44,http://www.novacvideo.org
45,http://www.kinodv.org
46,http://www.allcommunitymedia.org
47,http://www.aestesis.eu
48,http://www.boxxtech.com
49,http://www.vet.co.uk
