,Link
0,http://www.urbandictionary.com
1,http://www.grammarly.com
2,http://www.ieee.org
3,http://www.archiveofourown.org
4,http://www.fanfiction.net
5,http://www.tvtropes.org
6,http://www.easybib.com
7,http://www.citethisforme.com
8,http://www.bartleby.com
9,http://www.gingersoftware.com
10,http://www.apastyle.org
11,http://www.grammarcheck.net
12,http://www.writingexplained.org
13,http://www.celtx.com
14,http://www.publishersweekly.com
15,http://www.quetext.com
16,http://www.lettercount.com
17,http://www.grammarbook.com
18,http://www.writeexpress.com
19,http://www.plagiarisma.net
20,http://www.writersdigest.com
21,http://www.chicagomanualofstyle.org
22,http://www.chompchomp.com
23,http://www.englishforeveryone.org
24,http://www.duplichecker.com
25,http://www.writing.com
26,http://www.nanowrimo.org
27,http://www.grammar-monster.com
28,http://www.citefast.com
29,http://www.prowritingaid.com
30,http://www.writerduet.com
31,http://www.verbix.com
32,http://www.mla.org
33,http://www.thewritepractice.com
34,http://www.chinesepen.org
35,http://www.aresearchguide.com
36,http://www.thepunctuationguide.com
37,http://www.finaldraft.com
38,http://www.adjectivesstarting.com
39,http://www.jspell.com
40,http://www.style.mla.org
41,http://www.nounplus.net
42,http://www.onlinecorrection.com
43,http://www.kindlepreneur.com
44,http://www.spellcheck.net
45,http://www.spellcheckplus.com
46,http://www.descriptionari.com
47,http://www.victorianweb.org
48,http://www.freelancewriting.com
49,http://www.plot-generator.org.uk
