,Link
0,http://www.skype.com
1,http://www.att.com
2,http://www.verizonwireless.com
3,http://www.cisco.com
4,http://www.t-mobile.com
5,http://www.verizon.com
6,http://www.bt.com
7,http://www.garmin.com
8,http://www.sprint.com
9,http://www.rt.ru
10,http://www.telekom.de
11,http://www.rackspace.com
12,http://www.nokia.com
13,http://www.telstra.com.au
14,http://www.centurylink.com
15,http://www.bell.ca
16,http://www.frontier.com
17,http://www.telus.com
18,http://www.swisscom.ch
19,http://www.level3.com
20,http://www.o2.co.uk
21,http://www.htc.com
22,http://www.trimble.com
23,http://www.singtel.com
24,http://www.ntt.com
25,http://www.motorola.com
26,http://www.fido.ca
27,http://www.etisalat.ae
28,http://www.fcc.gov
29,http://www.jazztel.com
30,http://www.soumu.go.jp
31,http://www.ptcl.com.pk
32,http://www.ericsson.com
33,http://www.vodafone.com
34,http://www.techdata.com
35,http://www.vonage.com
36,http://www.viasat.com
37,http://www.rcn.com
38,http://www.itu.int
39,http://www.incontact.com
40,http://www.freeconferencecall.com
41,http://www.plantronics.com
42,http://www.tracfone.com
43,http://www.8x8.com
44,http://www.talx.com
45,http://www.wireless.att.com
46,http://www.avaya.com
47,http://www.orange.com
48,http://www.virginmobileusa.com
49,http://www.hkcsl.com
