,Link
0,http://www.random.org
1,http://www.vcodex.com
2,http://www.usc.edu
3,http://www.elte.hu
4,http://www.wafr.org
5,http://www.combinatorics.org
6,http://www.inria.fr
7,http://www.stringology.org
8,http://www.hackersdelight.org
9,http://www.orcca.on.ca
10,http://www.sbg.ac.at
11,http://www.caltech.edu
12,http://www.can.nl
13,http://www.gailly.net
14,http://www.berkeley.edu
15,http://www.jgaa.info
16,http://www.data-compression.info
17,http://www.canterbury.ac.nz
18,http://www.caltech.edu
19,http://www.comscire.com
20,http://www.sigsam.org
21,http://www.st-and.ac.uk
22,http://www.rrsd.com
23,http://www.inria.fr
24,http://www.sourceforge.net
25,http://www.sourceforge.net
26,http://www.sourceforge.net
27,http://www.uwaterloo.ca
28,http://www.u-tokyo.ac.jp
29,http://www.sdsu.edu
30,http://www.acm.org
31,http://www.carleton.ca
32,http://www.tuwien.ac.at
33,http://www.unige.it
34,http://www.puc-rio.br
35,http://www.uvt.ro
36,http://www.uni-linz.ac.at
37,http://www.simsearch.yury.name
38,http://www.juergen-abel.info
39,http://www.editor.altervista.org
40,http://www.asilomarssc.org
41,http://www.algosort.com
42,http://www.data-compression.com
43,http://www.minimair.org
44,http://www.hlcmklam.com
45,http://www.randombots.com
46,http://www.robsort.org
47,http://www.sequitur.info
48,http://www.wads.org
49,http://www.crypto.8k.com
