,Link
0,http://www.kaggle.com
1,http://www.tensorflow.org
2,http://www.cmu.edu
3,http://www.scikit-learn.org
4,http://www.mit.edu
5,http://www.datasciencecentral.com
6,http://www.nips.cc
7,http://www.aaai.org
8,http://www.jneurosci.org
9,http://www.aclweb.org
10,http://www.yale.edu
11,http://www.sfn.org
12,http://www.lecun.com
13,http://www.cognex.com
14,http://www.ijcai.org
15,http://www.dfki.de
16,http://www.pandorabots.com
17,http://www.northwestern.edu
18,http://www.kurzweilai.net
19,http://www.burning-glass.com
20,http://www.norvig.com
21,http://www.philippe-fournier-viger.com
22,http://www.torch.ch
23,http://www.ai-gakkai.or.jp
24,http://www.cmu.edu
25,http://www.sri.com
26,http://www.umass.edu
27,http://www.itk.org
28,http://www.nasa.gov
29,http://www.jair.org
30,http://www.personalityforge.com
31,http://www.novomind.com
32,http://www.shogun-toolbox.org
33,http://www.ucl.ac.uk
34,http://www.bluecatnetworks.com
35,http://www.chatbots.org
36,http://www.toronto.edu
37,http://www.gate.ac.uk
38,http://www.autonlab.org
39,http://www.genetic-programming.com
40,http://www.aiai.ed.ac.uk
41,http://www.idm-lab.org
42,http://www.numenta.com
43,http://www.ti.arc.nasa.gov
44,http://www.altredo.com
45,http://www.iiia.csic.es
46,http://www.aihitdata.com
47,http://www.zabaware.com
48,http://www.auai.org
49,http://www.jmlr.csail.mit.edu
