,Link
0,http://www.preterhuman.net
1,http://www.synchro.net
2,http://www.bbsdocumentary.com
3,http://www.telnetbbsguide.com
4,http://www.textfiles.com
5,http://www.citadel.org
6,http://www.thebbs.org
7,http://www.fidonet.org
8,http://www.headgap.com
9,http://www.intelec.com
10,http://www.ftsc.org
11,http://www.sourceforge.net
12,http://www.sourceforge.net
13,http://www.sourceforge.net
14,http://www.sourceforge.net
15,http://www.sourceforge.net
16,http://www.thebbs.org
17,http://www.fidonet.ca
18,http://www.bbbs.net
19,http://www.bbsing.com
20,http://www.cisbbs.nl
21,http://www.cnetbbs.net
22,http://www.cyber1.org
23,http://www.s-and-m-software.com
24,http://www.doorgames.org
25,http://www.falconbbs.nl
26,http://www.fehq.org
27,http://www.foxriver.net
28,http://www.hermesbbs.com
29,http://www.filegate.net
30,http://www.iscabbs.com
31,http://www.pcpursuits.com
32,http://www.bbsdev.net
33,http://www.tfbbs.com
34,http://www.vadvbbs.com
35,http://www.wcssoft.com
36,http://www.santronics.com
37,http://www.wwivbbs.org
