,Link
0,http://www.gutenberg.org
1,http://www.calibre-ebook.com
2,http://www.bookbub.com
3,http://www.bookboon.com
4,http://www.manybooks.net
5,http://www.kobobooks.com
6,http://www.freebookcentre.net
7,http://www.loyalbooks.com
8,http://www.planetebook.com
9,http://www.e-booksdirectory.com
10,http://www.fbreader.org
11,http://www.freetechbooks.com
12,http://www.pocketbook-int.com
13,http://www.obooko.com
14,http://www.idpf.org
15,http://www.bookgorilla.com
16,http://www.ebookstage.com
17,http://www.icarusreader.com
18,http://www.bookeen.com
19,http://www.booklending.com
20,http://www.flipviewer.com
21,http://www.isilo.com
22,http://www.teleread.com
23,http://www.coreservlets.com
24,http://www.onestopfiction.com
25,http://www.ebookmaestro.com
26,http://www.ebookswriter.com
27,http://www.ebooktakeaway.com
28,http://www.easymediabroadcast.com
29,http://www.megazine3.de
30,http://www.natata.com
31,http://www.ebook88.com
32,http://www.howtodecide.com
33,http://www.jointech.com.hk
34,http://www.blogkindle.com
35,http://www.sourceforge.net
36,http://www.digitalbookworld.com
37,http://www.thebookhub.in
38,http://www.bookbuddi.com
39,http://www.coverfactory.com
40,http://www.ereaders-foryou.com
41,http://www.eanagnosis.com
42,http://www.ebookpro.com
43,http://www.ebookcompiler.com
44,http://www.ebooks-pilot.com
45,http://www.ebooklib.50webs.com
46,http://www.freeebooknetwork.com
47,http://www.newtonslibrary.org
48,http://www.openreader.org
49,http://www.pubolab.com
