,Link
0,http://www.vmware.com
1,http://www.virtualbox.org
2,http://www.parallels.com
3,http://www.winehq.org
4,http://www.zophar.net
5,http://www.dosbox.com
6,http://www.codeweavers.com
7,http://www.yellow-bricks.com
8,http://www.qemu.org
9,http://www.retrogames.com
10,http://www.winuae.net
11,http://www.emulationrealm.net
12,http://www.1emulation.com
13,http://www.emaculation.com
14,http://www.vmblog.com
15,http://www.amigaforever.com
16,http://www.sourceforge.net
17,http://www.virtual-strategy.com
18,http://www.sourceforge.net
19,http://www.winehq.org
20,http://www.sourceforge.net
21,http://www.aep-emu.de
22,http://www.trs-80.com
23,http://www.virtualii.com
24,http://www.emulators.com
25,http://www.xensource.com
26,http://www.vg-network.com
27,http://www.stardot.org.uk
28,http://www.openmsx.org
29,http://www.8bs.com
30,http://www.ataridogdaze.com
31,http://www.pcem-emulator.co.uk
32,http://www.simcoupe.org
33,http://www.cebix.net
34,http://www.ccs64.com
35,http://www.bbcmicro.co.uk
36,http://www.hatari.tuxfamily.org
37,http://www.spectaculator.com
38,http://www.simh.trailing-edge.com
39,http://www.virtualization.info
40,http://www.bbc.godbolt.org
41,http://www.jaymoseley.com
42,http://www.jpc.sourceforge.net
43,http://www.jupiter-ace.co.uk
44,http://www.spectrummagic.emuunlim.com
45,http://www.b-em.bbcmicro.com
46,http://www.winape.net
47,http://www.catakig.sourceforge.net
48,http://www.xl-project.com
49,http://www.nlmsx.generation-msx.nl
