,Link
0,http://www.hackaday.com
1,http://www.thinkgeek.com
2,http://www.hackforums.net
3,http://www.makezine.com
4,http://www.offensive-security.com
5,http://www.exploit-db.com
6,http://www.iacr.org
7,http://www.blackhat.com
8,http://www.sectools.org
9,http://www.securityfocus.com
10,http://www.nfohump.com
11,http://www.defcon.org
12,http://www.metasploit.com
13,http://www.phrack.org
14,http://www.hakin9.org
15,http://www.wigle.net
16,http://www.2600.com
17,http://www.hackedgadgets.com
18,http://www.hellboundhackers.org
19,http://www.soldierx.com
20,http://www.spacerogue.net
21,http://www.securitytracker.com
22,http://www.freedom-to-tinker.com
23,http://www.garage4hackers.com
24,http://www.hitb.org
25,http://www.astalavista.com
26,http://www.phreaknic.info
27,http://www.attrition.org
28,http://www.hackcanada.com
29,http://www.shmoocon.org
30,http://www.binrev.com
31,http://www.cultdeadcow.com
32,http://www.tinkerlog.com
33,http://www.reteam.org
34,http://www.hackerstickers.com
35,http://www.hackershomepage.com
36,http://www.thisisarecording.com
37,http://www.vxheaven.org
38,http://www.thotcon.org
39,http://www.hackerthreads.org
40,http://www.karosium.com
41,http://www.enzotech.net
42,http://www.fab-corp.com
43,http://www.toorcon.net
44,http://www.deroko.phearless.org
45,http://www.cellphonehacks.com
46,http://www.syscan.org
47,http://www.nanocr.eu
48,http://www.z0mbie.daemonlab.org
49,http://www.moaphie.awardspace.com
