,Link
0,http://www.acm.org
1,http://www.computer.org
2,http://www.isaca.org
3,http://www.aclweb.org
4,http://www.bcs.org
5,http://www.svpg.com
6,http://www.eg.org
7,http://www.siia.net
8,http://www.jpeg.org
9,http://www.comptechdoc.org
10,http://www.aitp.org
11,http://www.fgdc.gov
12,http://www.tiaonline.org
13,http://www.npower.org
14,http://www.dcu.ie
15,http://www.asp-software.org
16,http://www.freegeek.org
17,http://www.cepis.org
18,http://www.athenaalliance.org
19,http://www.computerclubhouse.org
20,http://www.dma1.org
21,http://www.npanet.org
22,http://www.sdfutures.org
23,http://www.iap.org.uk
24,http://www.iw3c2.org
25,http://www.siggraph.org
26,http://www.naspa.com
27,http://www.itsmfonline.org
28,http://www.icecc.com
29,http://www.cristina.org
30,http://www.progressivetech.org
31,http://www.apcug.net
32,http://www.urbantech.org
33,http://www.aeaus.com
34,http://www.taxact.org
35,http://www.bdparichmond.org
36,http://www.zerodivide.org
37,http://www.compsoc.org.uk
38,http://www.capinc.org
39,http://www.confluencecorp.com
40,http://www.eccai.org
41,http://www.familynet-international.org
42,http://www.isaca-cincinnati.org
43,http://www.htcia.org
44,http://www.irmac.ca
45,http://www.ipdra.org
46,http://www.neted.org
47,http://www.itnea.net
48,http://www.ncc.co.uk
49,http://www.programmersguild.org
