,Link
0,http://www.naturalreaders.com
1,http://www.nuance.com
2,http://www.acapela-group.com
3,http://www.upenn.edu
4,http://www.neospeech.com
5,http://www.nextup.com
6,http://www.mmodal.com
7,http://www.torch.ch
8,http://www.cmu.edu
9,http://www.ilsp.gr
10,http://www.cepstral.com
11,http://www.cereproc.com
12,http://www.lumenvox.com
13,http://www.newvoicemedia.com
14,http://www.plumvoice.com
15,http://www.readthewords.com
16,http://www.asr-gooyesh.com
17,http://www.altoedge.com
18,http://www.dfki.de
19,http://www.jhu.edu
20,http://www.yale.edu
21,http://www.thesipschool.com
22,http://www.e-speaking.com
23,http://www.andreaelectronics.com
24,http://www.cam.ac.uk
25,http://www.voiceport.net
26,http://www.shef.ac.uk
27,http://www.dspg.com
28,http://www.wizzardsoftware.com
29,http://www.callhandling.co.uk
30,http://www.angel.com
31,http://www.speechpro.com
32,http://www.voicerecognition.com.au
33,http://www.startstop.com
34,http://www.escription.com
35,http://www.ed.ac.uk
36,http://www.tvps.com
37,http://www.festvox.org
38,http://www.bytecool.com
39,http://www.speechrecsolutions.com
40,http://www.winscribe.com
41,http://www.skccom.com
42,http://www.microphones.com
43,http://www.voxeo.com
44,http://www.textspeechpro.com
45,http://www.bighand.com
46,http://www.ttssamples.syntheticspeech.de
47,http://www.advantone.com
48,http://www.voxware.com
49,http://www.thecyberbuddy.com
