,Link
0,http://www.apple.com
1,http://www.sourceforge.net
2,http://www.evernote.com
3,http://www.xda-developers.com
4,http://www.viber.com
5,http://www.macrumors.com
6,http://www.apple.com
7,http://www.emuparadise.me
8,http://www.windowscentral.com
9,http://www.imore.com
10,http://www.macworld.co.uk
11,http://www.macrumors.com
12,http://www.macworld.com
13,http://www.idownloadblog.com
14,http://www.fossil.com
15,http://www.emc.com
16,http://www.everymac.com
17,http://www.blackberry.com
18,http://www.gizmochina.com
19,http://www.gottabemobile.com
20,http://www.macobserver.com
21,http://www.mobileread.com
22,http://www.iclarified.com
23,http://www.runkeeper.com
24,http://www.daringfireball.net
25,http://www.crackberry.com
26,http://www.epocrates.com
27,http://www.jameco.com
28,http://www.pocketnow.com
29,http://www.mac-forums.com
30,http://www.newtek.com
31,http://www.bignerdranch.com
32,http://www.theiphonewiki.com
33,http://www.iphonefaq.org
34,http://www.atariage.com
35,http://www.tabletpcreview.com
36,http://www.tidbits.com
37,http://www.motu.com
38,http://www.prosofteng.com
39,http://www.olivetree.com
40,http://www.windowsphone.com
41,http://www.apple.slashdot.org
42,http://www.forums.appleinsider.com
43,http://www.csdb.dk
44,http://www.worldofspectrum.org
45,http://www.aminet.net
46,http://www.xojo.com
47,http://www.droidforums.net
48,http://www.skygolf.com
49,http://www.cydia.saurik.com
