,Link
0,http://www.wikia.com
1,http://www.mtggoldfish.com
2,http://www.mtgsalvation.com
3,http://www.magicspoiler.com
4,http://www.yugiohcardguide.com
5,http://www.mtgprice.com
6,http://www.tcgplayer.com
7,http://www.quietspeculation.com
8,http://www.tradecardsonline.com
9,http://www.magiclibrarities.net
10,http://www.essentialmagic.com
11,http://www.gatheringmagic.com
12,http://www.magicworkstation.com
13,http://www.riptidelab.com
14,http://www.blackborder.com
15,http://www.magicthegatheringdatabase.com
16,http://www.mtgcombos.com
17,http://www.magic-league.com
18,http://www.casualplayers.org
19,http://www.deathmarked.info
20,http://www.robinwood.com
21,http://www.milkcapmania.co.uk
22,http://www.oshkoshmagic.com
23,http://www.mtgjunkie.com
24,http://www.ccgrealms.com
25,http://www.freeservers.com
26,http://www.mtgstudio.com
27,http://www.filsingergames.com
28,http://www.mtgadventures.blogspot.com
29,http://www.showdowncards.com
30,http://www.shadowfist.com
31,http://www.recoculous.com
32,http://www.yugioh-deck.com
33,http://www.magiciloilo.com
34,http://www.yugiohforums.com
35,http://www.meetup.com
36,http://www.tcgplayer.com
37,http://www.emon.iwarp.com
38,http://www.hlair.dumpshock.com
39,http://www.ani-mayhem.com
40,http://www.asahina.4t.com
41,http://www.bopmtg.net
42,http://www.dragonstorm.com
43,http://www.blogthemagicgathering.blogspot.com
44,http://www.bluegrassmagic.com
45,http://www.chasemtg.tripod.com
46,http://www.death-mark.blogspot.com
47,http://www.echobaseops.8m.com
48,http://www.wotccg.mahasamatman.com
49,http://www.fivewithflores.com
