,Link
0,http://www.who.int
1,http://www.aafp.org
2,http://www.ama-assn.org
3,http://www.aap.org
4,http://www.facs.org
5,http://www.bma.org.uk
6,http://www.theglobalfund.org
7,http://www.cma.ca
8,http://www.ama.com.au
9,http://www.amsa.org
10,http://www.wma.net
11,http://www.texmed.org
12,http://www.pedaids.org
13,http://www.sgim.org
14,http://www.amwa-doc.org
15,http://www.sma.org
16,http://www.amfar.org
17,http://www.lymphoma.org
18,http://www.hbanet.org
19,http://www.mommd.com
20,http://www.americanherbalistsguild.com
21,http://www.lungevity.org
22,http://www.nfid.org
23,http://www.amga.org
24,http://www.hfsa.org
25,http://www.lustgarten.org
26,http://www.ucaoa.org
27,http://www.ahna.org
28,http://www.aapb.org
29,http://www.dystonia-foundation.org
30,http://www.the-cma.org.uk
31,http://www.preventcancer.org
32,http://www.oref.org
33,http://www.pulmonaryfibrosis.org
34,http://www.jimmyv.org
35,http://www.nmanet.org
36,http://www.womensurgeons.org
37,http://www.ejaf.org
38,http://www.curearthritis.org
39,http://www.pedsderm.net
40,http://www.amsect.org
41,http://www.transplants.org
42,http://www.aanos.org
43,http://www.australiannaturaltherapistsassociation.com.au
44,http://www.mffh.org
45,http://www.aaplog.org
46,http://www.ellisonfoundation.org
47,http://www.nhmamd.org
48,http://www.medicalwomensfederation.org.uk
49,http://www.gsttcharity.org.uk
