,Link
0,http://www.nih.gov
1,http://www.specsavers.com.au
2,http://www.aoa.org
3,http://www.opsm.com.au
4,http://www.aaopt.org
5,http://www.salus.edu
6,http://www.visionaustralia.org
7,http://www.sco.edu
8,http://www.sunyopt.edu
9,http://www.sjogrens.org
10,http://www.neco.edu
11,http://www.uh.edu
12,http://www.blindness.org
13,http://www.american-hearing.org
14,http://www.thevisioncouncil.org
15,http://www.berkeley.edu
16,http://www.opto.ca
17,http://www.dangerousdecibels.org
18,http://www.umich.edu
19,http://www.optom.on.ca
20,http://www.covd.org
21,http://www.opted.org
22,http://www.coavision.org
23,http://www.indiana.edu
24,http://www.nova.edu
25,http://www.aiishmysore.com
26,http://www.oepf.org
27,http://www.optometrists.org
28,http://www.pain.com
29,http://www.optcom.com
30,http://www.eyecareplus.com.au
31,http://www.hearnet.com
32,http://www.lea-test.fi
33,http://www.opto.com
34,http://www.arbo.org
35,http://www.osu.edu
36,http://www.tearfilm.org
37,http://www.monell.org
38,http://www.usaeyes.org
39,http://www.acbo.org.au
40,http://www.nal.gov.au
41,http://www.cvilleeyecare.com
42,http://www.vutest.com
43,http://www.texas.aoa.org
44,http://www.earlab.bu.edu
45,http://www.bcla.org.uk
46,http://www.cclsa.org.au
47,http://www.soundadvice.info
48,http://www.occhio.com.au
49,http://www.ocanz.org
