,Link
0,http://www.drinkaware.co.uk
1,http://www.coffeeandhealth.org
2,http://www.smokingsides.com
3,http://www.srnt.org
4,http://www.ash.org
5,http://www.otru.org
6,http://www.wisc.edu
7,http://www.trdrp.org
8,http://www.leavethepackbehind.org
9,http://www.aim-digest.com
10,http://www.quitsmokeless.org
11,http://www.wisc.edu
12,http://www.badvertising.org
13,http://www.cheapestcigarettesonearth.com
14,http://www.farces.org
15,http://www.freudberg.com
16,http://www.healtheducation.org
17,http://www.licensedtokill.biz
18,http://www.naatpn.org
19,http://www.nottokids.ca
20,http://www.strongbones.org
21,http://www.projectsmokeout.com
22,http://www.buttout.com
23,http://www.tarwars.org
24,http://www.tobacco-facts.info
25,http://www.tidatabase.org
26,http://www.quittobacco.com
27,http://www.winesummit.com
