,Link
0,http://www.youngmenshealthsite.org
1,http://www.webmd.com
2,http://www.drugfree.org
3,http://www.teenhealthandwellness.com
4,http://www.standupgirl.com
5,http://www.addaction.org.uk
6,http://www.healthiersf.org
7,http://www.thehealthteacher.com
8,http://www.monitoringthefuture.org
9,http://www.abovetheinfluence.com
10,http://www.teenhealthfx.com
11,http://www.noffs.org.au
12,http://www.toogoodprograms.org
13,http://www.youngveggie.org
14,http://www.almondmilk.net
15,http://www.activeeurope.org
16,http://www.castoroil.org
17,http://www.iemily.com
18,http://www.safety1st.org
19,http://www.teenhealthissues.org
20,http://www.teenage-pregnancy.org
21,http://www.yourhealthsunderland.com
