,Link
0,http://www.kidskonnect.com
1,http://www.ala.org
2,http://www.kidsites.com
3,http://www.awesomelibrary.org
4,http://www.usa.gov
5,http://www.kidsclick.org
6,http://www.homeworkspot.com
7,http://www.kidfriendlysearch.com
8,http://www.cybersleuth-kids.com
9,http://www.mikids.com
10,http://www.mgpl.org
11,http://www.kidsolr.com
12,http://www.kids-korner.com
13,http://www.sakidsonthego.com
14,http://www.teachthechildrenwell.com
15,http://www.worldwideschool.org
16,http://www.childrencanada.com
17,http://www.childrensbooksequels.co.uk
18,http://www.internetschoolhouse.com
19,http://www.letterlane.com
20,http://www.only4ukids.com
