,Link
0,http://www.teenvogue.com
1,http://www.plannedparenthood.org
2,http://www.seventeen.com
3,http://www.gurl.com
4,http://www.rockthevote.com
5,http://www.reachout.com
6,http://www.scarleteen.com
7,http://www.mo.gov
8,http://www.youngwomenshealth.org
9,http://www.kiwibox.com
10,http://www.voicesofyouth.org
11,http://www.virtualteen.org
12,http://www.glsen.org
13,http://www.candymag.com
14,http://www.sexetc.org
15,http://www.faze.ca
16,http://www.girlslife.com
17,http://www.yd.com
18,http://www.jasonfoundation.com
19,http://www.vergemagazine.com
20,http://www.girlsinc.org
21,http://www.engineergirl.org
22,http://www.teenhealthsource.com
23,http://www.girlsense.com
24,http://www.madd.org
25,http://www.iwannaknow.org
26,http://www.kidshelpphone.ca
27,http://www.popstaronline.com
28,http://www.1800runaway.org
29,http://www.brook.org.uk
30,http://www.umbrellahealth.co.uk
31,http://www.teenlineonline.org
32,http://www.gsanetwork.org
33,http://www.seedsofpeace.org
34,http://www.teensource.org
35,http://www.shamelessmag.com
36,http://www.layouth.com
37,http://www.hsfpp.org
38,http://www.teenadvice.about.com
39,http://www.acedmagazine.com
40,http://www.massrmv.com
41,http://www.gayteenforum.org
42,http://www.teenhelp.org
43,http://www.missoandfriends.com
44,http://www.safesitter.org
45,http://www.autosafety.org
46,http://www.yellowribbon.org
47,http://www.discoverygirls.com
48,http://www.positive.org
49,http://www.youthalive.org
