,Link
0,http://www.theatlantic.com
1,http://www.newrepublic.com
2,http://www.lucianne.com
3,http://www.project-syndicate.org
4,http://www.frontpagemag.com
5,http://www.truthdig.com
6,http://www.governing.com
7,http://www.washingtonmonthly.com
8,http://www.globalissues.org
9,http://www.bostonreview.net
10,http://www.jewishworldreview.com
11,http://www.steynonline.com
12,http://www.ipsnews.net
13,http://www.littlegreenfootballs.com
14,http://www.jamestown.org
15,http://www.michellemalkin.com
16,http://www.utne.com
17,http://www.worldpress.org
18,http://www.monbiot.com
19,http://www.vsotd.com
20,http://www.ericmargolis.com
21,http://www.thomaslfriedman.com
22,http://www.professorbainbridge.com
23,http://www.radioopensource.org
24,http://www.brandonstaggs.com
25,http://www.spectacle.org
26,http://www.fareedzakaria.com
27,http://www.menarebetterthanwomen.com
28,http://www.davidwarrenonline.com
29,http://www.ocnus.net
30,http://www.accuracy.org
31,http://www.publicagenda.org
32,http://www.themedialine.org
33,http://www.anneapplebaum.com
34,http://www.retirementrevised.com
35,http://www.columnists.com
36,http://www.calthomas.com
37,http://www.tomatonation.com
38,http://www.joeuser.com
39,http://www.media-underground.net
40,http://www.spillingcoffee.com
41,http://www.suddenlysenior.com
42,http://www.davidlimbaugh.com
43,http://www.jimhightower.com
44,http://www.fightthebias.com
45,http://www.american-reporter.com
46,http://www.therehearsalstudio.blogspot.com
47,http://www.dldewey.com
48,http://www.flavinscorner.com
49,http://www.funnystrange.net
