,Link
0,http://www.usnews.com
1,http://www.theatlantic.com
2,http://www.time.com
3,http://www.newsweek.com
4,http://www.fortune.com
5,http://www.theroot.com
6,http://www.rd.com
7,http://www.theweek.com
8,http://www.parade.com
9,http://www.macleans.ca
10,http://www.good.is
11,http://www.opendemocracy.net
12,http://www.saturdayeveningpost.com
13,http://www.magportal.com
14,http://www.viewzone.com
15,http://www.e-journals.org
16,http://www.failuremag.com
17,http://www.ezine-dir.com
18,http://www.digitalmediawire.com
19,http://www.newslink.org
20,http://www.ulrichsweb.com
21,http://www.jpfreek.com
22,http://www.identitytheory.com
23,http://www.magatopia.com
24,http://www.clutchmagonline.com
25,http://www.rageboy.com
26,http://www.soundbitten.com
27,http://www.magazine-directory.com
28,http://www.postchronicle.com
29,http://www.bubblegun.com
30,http://www.journalistically.com
31,http://www.loudbassoon.com
32,http://www.thewiremegazine.com
33,http://www.freezerbox.com
34,http://www.speakmag.com
35,http://www.pigdog.org
36,http://www.internationalresidence.ru
37,http://www.cafe52.com
38,http://www.justchillax.50megs.com
39,http://www.29hdnetwork.com
40,http://www.bigblendmagazine.com
41,http://www.bracketbracket.com
42,http://www.ecuadortimes.net
43,http://www.ehealthonline.org
44,http://www.europeanvibe.com
45,http://www.ezineblaze.com
46,http://www.globalpost.com
47,http://www.imakecontent.net
48,http://www.leisure.ru
49,http://www.kgbreport.com
