,Link
0,http://www.reuters.com
1,http://www.variety.com
2,http://www.yonhapnews.co.kr
3,http://www.irna.ir
4,http://www.adweek.com
5,http://www.bdnews24.com
6,http://www.ap.org
7,http://www.lexisnexis.com
8,http://www.fcc.gov
9,http://www.upi.com
10,http://www.afp.com
11,http://www.smartbrief.com
12,http://www.cision.com
13,http://www.thedrum.com
14,http://www.factcheck.org
15,http://www.mediamatters.org
16,http://www.copyright.gov
17,http://www.mediapost.com
18,http://www.wickedlocal.com
19,http://www.uexpress.com
20,http://www.cjr.org
21,http://www.mediabistro.com
22,http://www.tveyes.com
23,http://www.people-press.org
24,http://www.criticalmention.com
25,http://www.globalvoices.org
26,http://www.universalhub.com
27,http://www.einnews.com
28,http://www.harpers.org
29,http://www.creators.com
30,http://www.multichannel.com
31,http://www.theguardian.com
32,http://www.kyodonews.jp
33,http://www.journalismjobs.com
34,http://www.sourcewatch.org
35,http://www.epa.eu
36,http://www.broadcastingcable.com
37,http://www.ubm.com
38,http://www.journalism.org
39,http://www.gracenote.com
40,http://www.sabanews.net
41,http://www.burrellesluce.com
42,http://www.mediasmarts.ca
43,http://www.ebu.ch
44,http://www.chnm.gmu.edu
45,http://www.journalism.co.uk
46,http://www.fair.org
47,http://www.freespeech.org
48,http://www.insidescience.org
49,http://www.newscaststudio.com
