,Link
0,http://www.ebird.org
1,http://www.allaboutbirds.org
2,http://www.rspb.org.uk
3,http://www.cornell.edu
4,http://www.xeno-canto.org
5,http://www.birdguides.com
6,http://www.birdforum.net
7,http://www.aba.org
8,http://www.ncwildlife.org
9,http://www.aba.org
10,http://www.whatbird.com
11,http://www.bto.org
12,http://www.wwt.org.uk
13,http://www.orientalbirdimages.org
14,http://www.birdlife.org.au
15,http://www.bsc-eoc.org
16,http://www.birdsna.org
17,http://www.hkbws.org.hk
18,http://www.fugleognatur.dk
19,http://www.owlcam.com
20,http://www.birdnote.org
21,http://www.ornithomedia.com
22,http://www.birdwatching.com
23,http://www.birdwatchireland.ie
24,http://www.birdwatchersdigest.com
25,http://www.abcbirds.org
26,http://www.ducks.ca
27,http://www.birding.bc.ca
28,http://www.eremaea.com
29,http://www.sibleyguides.com
30,http://www.10000birds.com
31,http://www.borealbirds.org
32,http://www.hawkridge.org
33,http://www.hummingbirds.net
34,http://www.nestwatch.org
35,http://www.optics4birding.com
36,http://www.bou.org.uk
37,http://www.africanbirdclub.org
38,http://www.hawkcount.org
39,http://www.britishbirdlovers.co.uk
40,http://www.pointblue.org
41,http://www.hawkmountain.org
42,http://www.utahbirds.org
43,http://www.birdlife.org.za
44,http://www.sabirding.co.za
45,http://www.sialis.org
46,http://www.purplemartin.org
47,http://www.ebnitalia.it
48,http://www.fatbirder.com
49,http://www.wildlifeacoustics.com
