,Link
0,http://www.zomato.com
1,http://www.opentable.com
2,http://www.grubhub.com
3,http://www.seamless.com
4,http://www.just-eat.co.uk
5,http://www.foodandwine.com
6,http://www.chowhound.com
7,http://www.wine-searcher.com
8,http://www.untappd.com
9,http://www.beeradvocate.com
10,http://www.thedailymeal.com
11,http://www.liquor.com
12,http://www.ratebeer.com
13,http://www.homebrewtalk.com
14,http://www.oktoberfest.de
15,http://www.delivery.com
16,http://www.restaurant.com
17,http://www.zagat.com
18,http://www.winemag.com
19,http://www.eatstreet.com
20,http://www.kirin.co.jp
21,http://www.winespectator.com
22,http://www.sapporobeer.jp
23,http://www.ab-inbev.com
24,http://www.diffordsguide.com
25,http://www.bjsrestaurants.com
26,http://www.winechina.com
27,http://www.fastfoodmenuprices.com
28,http://www.thefork.com
29,http://www.homebrewersassociation.org
30,http://www.decanter.com
31,http://www.home-barista.com
32,http://www.brandeating.com
33,http://www.suntory.com
34,http://www.anheuser-busch.com
35,http://www.biltmore.com
36,http://www.steepster.com
37,http://www.rewardsnetwork.com
38,http://www.johnniewalker.com
39,http://www.craftbeer.com
40,http://www.heineken.com
41,http://www.mcmenamins.com
42,http://www.byo.com
43,http://www.chinesemenu.com
44,http://www.kirbiecravings.com
45,http://www.roundmenu.com
46,http://www.bookatable.co.uk
47,http://www.sprudge.com
48,http://www.menuism.com
49,http://www.snapfinger.com
