,Link
0,http://www.disney.go.com
1,http://www.disney.go.com
2,http://www.sixflags.com
3,http://www.universalstudioshollywood.com
4,http://www.disboards.com
5,http://www.disneylandparis.com
6,http://www.wdwmagic.com
7,http://www.hongkongdisneyland.com
8,http://www.wdwinfo.com
9,http://www.buschgardens.com
10,http://www.greatwolf.com
11,http://www.knotts.com
12,http://www.cedarpoint.com
13,http://www.screamscape.com
14,http://www.mousesavers.com
15,http://www.ripleys.com
16,http://www.canadaswonderland.com
17,http://www.rcdb.com
18,http://www.themeparkreview.com
19,http://www.themeparkinsider.com
20,http://www.dollywood.com
21,http://www.kalahariresorts.com
22,http://www.allears.net
23,http://www.hersheypark.com
24,http://www.legoland.de
25,http://www.seaworldparks.com
26,http://www.visitkingsisland.com
27,http://www.carowinds.com
28,http://www.parcasterix.fr
29,http://www.wonderla.com
30,http://www.futuroscope.com
31,http://www.kingsdominion.com
32,http://www.santamonicapier.org
33,http://www.laughingplace.com
34,http://www.mouseplanet.com
35,http://www.legoland.co.uk
36,http://www.silverdollarcity.com
37,http://www.discoverycove.com
38,http://www.yesterland.com
39,http://www.liseberg.se
40,http://www.beachboardwalk.com
41,http://www.holidayworld.com
42,http://www.swandolphin.com
43,http://www.dreamworld.com.au
44,http://www.dorneypark.com
45,http://www.lagoonpark.com
46,http://www.parkpennies.com
47,http://www.schlitterbahn.com
48,http://www.movieworld.com.au
49,http://www.valleyfair.com
