,Link
0,http://www.stackoverflow.com
1,http://www.yahoo.com
2,http://www.answers.com
3,http://www.experts-exchange.com
4,http://www.justanswer.com
5,http://www.wisegeek.com
6,http://www.jiskha.com
7,http://www.blurtit.com
8,http://www.cornell.edu
9,http://www.liveperson.com
10,http://www.theanswerbank.co.uk
11,http://www.able2know.org
12,http://www.fluther.com
13,http://www.askmehelpdesk.com
14,http://www.answers.com
15,http://www.allexperts.com
16,http://www.maybenow.com
17,http://www.quomon.com
18,http://www.bidawiz.com
19,http://www.howeverythingworks.org
20,http://www.expertanswers.co.uk
21,http://www.askrose.org
22,http://www.askowen.info
23,http://www.cramshark.com
24,http://www.asktheleagueofnerds.com
25,http://www.answerland.org
26,http://www.what-is-what.com
27,http://www.ask-dr-s.com
28,http://www.peoplesnetwork.gov.uk
29,http://www.uclue.com
30,http://www.yourjewishfairygodmother.com
