,Link
0,http://www.ebscohost.com
1,http://www.wolfram.com
2,http://www.famsi.org
3,http://www.cas.cz
4,http://www.bcin.ca
5,http://www.itergateway.org
6,http://www.npcglib.org
7,http://www.bibsocamer.org
8,http://www.princeton.edu
9,http://www.ucsb.edu
10,http://www.oxfordjournals.org
11,http://www.biab.ac.uk
12,http://www.bibsoc.org.uk
13,http://www.bsc-sbc.ca
14,http://www.bsuva.org
15,http://www.ptahhotep.com
16,http://www.mosocco.com
17,http://www.diarysearch.co.uk
18,http://www.edinburghbibliographicalsociety.org.uk
19,http://www.eccb.net
20,http://www.ernestbramah.com
21,http://www.books.ai
22,http://www.oxbibsoc.org.uk
