,Link
0,http://www.worldcat.org
1,http://www.tableau.com
2,http://www.mindmeister.com
3,http://www.stumbleupon.com
4,http://www.lumosity.com
5,http://www.toolbox.com
6,http://www.processing.org
7,http://www.smarttech.com
8,http://www.xmind.net
9,http://www.nngroup.com
10,http://www.iperceptions.com
11,http://www.mindjet.com
12,http://www.cspace.com
13,http://www.hbs.edu
14,http://www.jmp.com
15,http://www.ihmc.us
16,http://www.mind42.com
17,http://www.sourceforge.net
18,http://www.imindmap.com
19,http://www.forth.gr
20,http://www.gephi.org
21,http://www.supermemo.com
22,http://www.vtk.org
23,http://www.thebrain.com
24,http://www.inspiration.com
25,http://www.canto.com
26,http://www.eidosmedia.com
27,http://www.biggerplate.com
28,http://www.imindq.com
29,http://www.klariti.com
30,http://www.datawatch.com
31,http://www.freeplane.org
32,http://www.kmworld.com
33,http://www.stanford.edu
34,http://www.tibco.com
35,http://www.groupvisual.io
36,http://www.ontotext.com
37,http://www.kdd.ics.uci.edu
38,http://www.clir.org
39,http://www.targit.com
40,http://www.informationr.net
41,http://www.tgs.com
42,http://www.dalet.com
43,http://www.boxesandarrows.com
44,http://www.gurteen.com
45,http://www.creativityatwork.com
46,http://www.eurocris.org
47,http://www.triz-journal.com
48,http://www.vanguardsw.com
49,http://www.mondeca.com
