,Link
0,http://www.google.co.uk
1,http://www.amazon.co.uk
2,http://www.bbc.co.uk
3,http://www.theguardian.com
4,http://www.ebay.co.uk
5,http://www.dailymail.co.uk
6,http://www.bet365.com
7,http://www.rt.com
8,http://www.asos.com
9,http://www.google.ie
10,http://www.cambridge.org
11,http://www.espncricinfo.com
12,http://www.cnn.com
13,http://www.hm.com
14,http://www.telegraph.co.uk
15,http://www.independent.co.uk
16,http://www.reuters.com
17,http://www.google.rs
18,http://www.express.co.uk
19,http://www.webex.com
20,http://www.cdiscount.com
21,http://www.gov.uk
22,http://www.premierleague.com
23,http://www.dw.com
24,http://www.thesun.co.uk
25,http://www.ryanair.com
26,http://www.united.com
27,http://www.oup.com
28,http://www.skysports.com
29,http://www.eset.com
30,http://www.mirror.co.uk
31,http://www.bt.com
32,http://www.gumtree.com
33,http://www.yahoo.com
34,http://www.sky.com
35,http://www.rightmove.co.uk
36,http://www.thomann.de
37,http://www.britishcouncil.org
38,http://www.who.int
39,http://www.uk.yahoo.com
40,http://www.metro.co.uk
41,http://www.ft.com
42,http://www.sap.com
43,http://www.hsbc.co.uk
44,http://www.cosmopolitan.com
45,http://www.easyjet.com
46,http://www.virginmedia.com
47,http://www.dailystar.co.uk
48,http://www.argos.co.uk
49,http://www.euronews.com
