,Link
0,http://www.google.com.au
1,http://www.google.co.nz
2,http://www.ebay.com.au
3,http://www.news.com.au
4,http://www.abc.net.au
5,http://www.realestate.com.au
6,http://www.nsw.gov.au
7,http://www.seek.com.au
8,http://www.smh.com.au
9,http://www.trademe.co.nz
10,http://www.sitepoint.com
11,http://www.stuff.co.nz
12,http://www.bom.gov.au
13,http://www.nab.com.au
14,http://www.westpac.com.au
15,http://www.sbs.com.au
16,http://www.jetstar.com
17,http://www.telstra.com.au
18,http://www.jbhifi.com.au
19,http://www.nzherald.co.nz
20,http://www.carsales.com.au
21,http://www.domain.com.au
22,http://www.ato.gov.au
23,http://www.theage.com.au
24,http://www.bunnings.com.au
25,http://www.anz.com.au
26,http://www.whirlpool.net.au
27,http://www.optus.com.au
28,http://www.yahoo.com
29,http://www.wa.gov.au
30,http://www.auckland.ac.nz
31,http://www.foxsports.com.au
32,http://www.nla.gov.au
33,http://www.immi.gov.au
34,http://www.newatlas.com
35,http://www.coles.com.au
36,http://www.indeed.com
37,http://www.business.gov.au
38,http://www.tenplay.com.au
39,http://www.weatherzone.com.au
40,http://www.dwu.ac.pg
41,http://www.dominos.com.au
42,http://www.uow.edu.au
43,http://www.nrl.com
44,http://www.theaustralian.com.au
45,http://www.au.news.yahoo.com
46,http://www.harveynorman.com.au
47,http://www.litmos.com
48,http://www.asb.co.nz
49,http://www.qantas.com.au
