,Link
0,http://www.lan.com
1,http://www.avianca.com
2,http://www.brasil.gov.br
3,http://www.paho.org
4,http://www.bmfbovespa.com.br
5,http://www.anvisa.gov.br
6,http://www.iadb.org
7,http://www.fapesp.br
8,http://www.bcv.org.ve
9,http://www.icesi.edu.co
10,http://www.eso.org
11,http://www.banrep.gov.co
12,http://www.bcra.gov.ar
13,http://www.remezcla.com
14,http://www.rnp.br
15,http://www.petrobras.com.br
16,http://www.bcentral.cl
17,http://www.venezuelatuya.com
18,http://www.bnamericas.com
19,http://www.alainet.org
20,http://www.aids.gov.br
21,http://www.alemana.cl
22,http://www.dwtonline.com
23,http://www.stabroeknews.com
24,http://www.ecopetrol.com.co
25,http://www.saopaulo.sp.gov.br
26,http://www.unimagdalena.edu.co
27,http://www.olavodecarvalho.org
28,http://www.georgetown.edu
29,http://www.adventure-life.com
30,http://www.guyanachronicle.com
31,http://www.fiesp.com.br
32,http://www.bvl.com.pe
33,http://www.guiaoleo.com.ar
34,http://www.band.com.br
35,http://www.procolombia.co
36,http://www.interpatagonia.com
37,http://www.carenado.com
38,http://www.argentour.com
39,http://www.promperu.gob.pe
40,http://www.revistaferroviaria.com.br
41,http://www.arianespace.com
42,http://www.go2peru.com
43,http://www.lanic.utexas.edu
44,http://www.visitchile.com
45,http://www.beachpark.com.br
46,http://www.malba.org.ar
47,http://www.gochile.cl
48,http://www.galapagos.org
49,http://www.horizon.co.fk
