,Link
0,http://www.acs.org
1,http://www.rsc.org
2,http://www.sigmaaldrich.com
3,http://www.nih.gov
4,http://www.cas.org
5,http://www.chemspider.com
6,http://www.webqc.org
7,http://www.chemguide.co.uk
8,http://www.alliedelec.com
9,http://www.ecsdl.org
10,http://www.nist.gov
11,http://www.ecsdl.org
12,http://www.organic-chemistry.org
13,http://www.scripps.edu
14,http://www.ucalgary.ca
15,http://www.chemie.de
16,http://www.msu.edu
17,http://www.utexas.edu
18,http://www.chemicalforums.com
19,http://www.bdbiosciences.com
20,http://www.bruker.com
21,http://www.stanford.edu
22,http://www.acs.org
23,http://www.periodictable.com
24,http://www.waters.com
25,http://www.periodni.com
26,http://www.chemicool.com
27,http://www.ox.ac.uk
28,http://www.chem4kids.com
29,http://www.iupac.org
30,http://www.chemicalaid.com
31,http://www.tamu.edu
32,http://www.icis.com
33,http://www.alfa.com
34,http://www.cambridgesoft.com
35,http://www.gatech.edu
36,http://www.webelements.com
37,http://www.hitachi-hightech.com
38,http://www.chemaxon.com
39,http://www.minicircuits.com
40,http://www.chem.uci.edu
41,http://www.restek.com
42,http://www.ch.cam.ac.uk
43,http://www.sciencegeek.net
44,http://www.rsif.royalsocietypublishing.org
45,http://www.quantumwise.com
46,http://www.gaussian.com
47,http://www.fmrib.ox.ac.uk
48,http://www.docbrown.info
49,http://www.acdlabs.com
