,Link
0,http://www.arxiv.org
1,http://www.wolfram.com
2,http://www.iop.org
3,http://www.aps.org
4,http://www.phys.org
5,http://www.physicsforums.com
6,http://www.allaboutcircuits.com
7,http://www.cern.ch
8,http://www.harvard.edu
9,http://www.mpg.de
10,http://www.physicsclassroom.com
11,http://www.cfd-online.com
12,http://www.lbl.gov
13,http://www.thorlabs.com
14,http://www.scientific.net
15,http://www.infn.it
16,http://www.anl.gov
17,http://www.jhuapl.edu
18,http://www.llnl.gov
19,http://www.spie.org
20,http://www.fnal.gov
21,http://www.cern.ch
22,http://www.jlab.org
23,http://www.lanl.gov
24,http://www.ictp.it
25,http://www.nsta.org
26,http://www.iucr.org
27,http://www.amara.com
28,http://www.aip.org
29,http://www.edmundoptics.com
30,http://www.bnl.gov
31,http://www.vernier.com
32,http://www.cern.ch
33,http://www.stanford.edu
34,http://www.flinnsci.com
35,http://www.ox.ac.uk
36,http://www.osa.org
37,http://www.van.physics.illinois.edu
38,http://www.physlink.com
39,http://www.kek.jp
40,http://www.photonics.com
41,http://www.physics.aps.org
42,http://www.damtp.cam.ac.uk
43,http://www.physics.utoronto.ca
44,http://www.phy.cam.ac.uk
45,http://www.gsi.de
46,http://www.physics.rutgers.edu
47,http://www.ipr.res.in
48,http://www.www1.jinr.ru
49,http://www.practicalphysics.org
