,Link
0,http://www.sciencedirect.com
1,http://www.nature.com
2,http://www.arxiv.org
3,http://www.sciencemag.org
4,http://www.biomedcentral.com
5,http://www.mdpi.com
6,http://www.plos.org
7,http://www.scientificamerican.com
8,http://www.frontiersin.org
9,http://www.pnas.org
10,http://www.popsci.com
11,http://www.nejm.org
12,http://www.newscientist.com
13,http://www.annualreviews.org
14,http://www.doaj.org
15,http://www.ajol.info
16,http://www.sciencenews.org
17,http://www.earthsky.org
18,http://www.discovermagazine.com
19,http://www.academicjournals.org
20,http://www.scielo.org
21,http://www.undip.ac.id
22,http://www.escholarship.org
23,http://www.cosmosmagazine.com
24,http://www.acs.org
25,http://www.bioline.org.br
26,http://www.thenakedscientists.com
27,http://www.iacr.org
28,http://www.seeker.com
29,http://www.csic.es
30,http://www.improbable.com
31,http://www.nottingham.ac.uk
32,http://www.indjst.org
33,http://www.dailygalaxy.com
34,http://www.rclis.org
35,http://www.everyspec.com
36,http://www.accessscience.com
37,http://www.bora.uib.no
38,http://www.sciweavers.org
39,http://www.orgprints.org
40,http://www.highwire.stanford.edu
41,http://www.epubs.surrey.ac.uk
42,http://www.scholarsresearchlibrary.com
43,http://www.americanscientist.org
44,http://www.philsci-archive.pitt.edu
45,http://www.scholar.lib.vt.edu
46,http://www.stmjournals.com
47,http://www.scopemed.org
48,http://www.cogprints.org
49,http://www.citeseer.ist.psu.edu
