,Link
0,http://www.state.gov
1,http://www.europa.eu
2,http://www.japanpost.jp
3,http://www.correios.com.br
4,http://www.un.org
5,http://www.who.int
6,http://www.europa.eu
7,http://www.fao.org
8,http://www.worldbank.org
9,http://www.royalmail.com
10,http://www.auspost.com.au
11,http://www.companieshouse.gov.uk
12,http://www.unesco.org
13,http://www.undp.org
14,http://www.unicef.org
15,http://www.oecd.org
16,http://www.wipo.int
17,http://www.faa.gov
18,http://www.mid.ru
19,http://www.cbi.ir
20,http://www.esteri.it
21,http://www.fmprc.gov.cn
22,http://www.rbi.org.in
23,http://www.bpost.be
24,http://www.diplomatie.gouv.fr
25,http://www.post.ch
26,http://www.mofa.go.jp
27,http://www.ilo.org
28,http://www.imf.org
29,http://www.oas.org
30,http://www.mofa.gov.sa
31,http://www.stlouisfed.org
32,http://www.europa.eu
33,http://www.cbr.ru
34,http://www.sre.gob.mx
35,http://www.unhcr.org
36,http://www.europa.eu
37,http://www.parliament.uk
38,http://www.ohchr.org
39,http://www.iaea.org
40,http://www.israelpost.co.il
41,http://www.exteriores.gob.es
42,http://www.tcmb.gov.tr
43,http://www.economie.gouv.fr
44,http://www.post.at
45,http://www.mofa.go.kr
46,http://www.bmf.gv.at
47,http://www.itu.int
48,http://www.hongkongpost.hk
49,http://www.posten.no
