,Link
0,http://www.patreon.com
1,http://www.fao.org
2,http://www.unicef.org
3,http://www.reliefweb.int
4,http://www.nobelprize.org
5,http://www.redcross.org
6,http://www.unhcr.org
7,http://www.care2.com
8,http://www.caringbridge.org
9,http://www.idealist.org
10,http://www.unv.org
11,http://www.usaid.gov
12,http://www.volunteermatch.org
13,http://www.icrc.org
14,http://www.wfp.org
15,http://www.oxfam.org.uk
16,http://www.peacecorps.gov
17,http://www.freekibble.com
18,http://www.wvi.org
19,http://www.grants.gov
20,http://www.ciee.org
21,http://www.freerice.com
22,http://www.gatesfoundation.org
23,http://www.compassion.com
24,http://www.roteskreuz.at
25,http://www.naeir.org
26,http://www.ifrc.org
27,http://www.neh.gov
28,http://www.globalgiving.org
29,http://www.habitat.org
30,http://www.care.org
31,http://www.networkforgood.com
32,http://www.msf.org
33,http://www.cybergrants.com
34,http://www.iie.org
35,http://www.nippon-foundation.or.jp
36,http://www.samaritanspurse.org
37,http://www.worldvision.org
38,http://www.oxfam.org
39,http://www.plan-international.org
40,http://www.onlinevolunteering.org
41,http://www.nationalservice.gov
42,http://www.foundationcenter.org
43,http://www.opensocietyfoundations.org
44,http://www.redcross.ca
45,http://www.odi.org
46,http://www.rescue.org
47,http://www.pewtrusts.org
48,http://www.children.org
49,http://www.redcross.org.uk
