,Link
0,http://www.teamusa.org
1,http://www.olympic.org
2,http://www.isu.org
3,http://www.olympicchannel.com
4,http://www.skatecanada.ca
5,http://www.usagym.org
6,http://www.worldarchery.org
7,http://www.wembleystadium.com
8,http://www.wada-ama.org
9,http://www.usada.org
10,http://www.nbcolympics.com
11,http://www.parkcitymountain.com
12,http://www.ssearena.co.uk
13,http://www.excel.london
14,http://www.curling.ca
15,http://www.lords.org
16,http://www.cypressmountain.com
17,http://www.deervalley.com
18,http://www.olympic.ca
19,http://www.aroundtherings.com
20,http://www.rogersarena.com
21,http://www.aiba.org
22,http://www.fisu.net
23,http://www.gymnastics.org.au
24,http://www.ibsf.org
25,http://www.seniorgames.net
26,http://www.snowbasin.com
27,http://www.vancouverconventioncentre.com
28,http://www.colimdo.org
29,http://www.shooting-russia.ru
30,http://www.usfencing.org
31,http://www.sport.nl
32,http://www.teamgb.com
33,http://www.tpenoc.net
34,http://www.richmondoval.ca
35,http://www.usashooting.org
36,http://www.olympic.ind.in
37,http://www.en.olympic.cn
38,http://www.mastersgames.com.au
39,http://www.ocasia.org
40,http://www.olimpiyatkomitesi.org.tr
41,http://www.olympics.com.au
42,http://www.olympic.sk
43,http://www.thecgf.com
44,http://www.bcplace.com
45,http://www.sascoc.co.za
46,http://www.gowhitewater.co.uk
47,http://www.rio2016.fivb.com
48,http://www.hkolympic.org
49,http://www.olympic.org.bb
