,Link
0,http://www.pdga.com
1,http://www.usaultimate.org
2,http://www.bayareadisc.org
3,http://www.wfdf.org
4,http://www.vul.ca
5,http://www.canadianultimate.com
6,http://www.theaudl.com
7,http://www.discnw.org
8,http://www.usdgc.com
9,http://www.ukultimate.com
10,http://www.pickupultimate.com
11,http://www.pada.org
12,http://www.tuc.org
13,http://www.discgolf.com
14,http://www.austinultimate.org
15,http://www.ocua.ca
16,http://www.rocultimate.org
17,http://www.portlandultimate.org
18,http://www.usetopscore.com
19,http://www.annarborultimate.org
20,http://www.afda.com
21,http://www.vups.bc.ca
22,http://www.mnultimate.org
23,http://www.whatisultimate.com
24,http://www.tuftsmensultimate.org
25,http://www.mamabird.com
26,http://www.wudi.org
27,http://www.montrealultimate.ca
28,http://www.irishultimate.com
29,http://www.afdc.com
30,http://www.southbendultimate.com
31,http://www.laout.org
32,http://www.playwithspirit.com
33,http://www.eupa.ca
34,http://www.windmilltournament.com
35,http://www.washingtonultimate.org
36,http://www.kaimanaklassik.com
37,http://www.nsut.com
38,http://www.oxuniultimate.com
39,http://www.ultimatechicago.org
40,http://www.kcfdc.org
41,http://www.strangeblue.org
42,http://www.usadgc.com
43,http://www.qldultimate.com.au
44,http://www.tomstourney.be
45,http://www.mhdgc.org
46,http://www.mirsanmir.org
47,http://www.morleyfield.com
48,http://www.ultitalk.com
49,http://www.huntsvilleultimate.com
