,Link
0,http://www.runnersworld.com
1,http://www.letsrun.com
2,http://www.runrepeat.com
3,http://www.mapmyrun.com
4,http://www.bmw-berlin-marathon.com
5,http://www.nyrr.org
6,http://www.coolrunning.com
7,http://www.runrocknroll.com
8,http://www.baa.org
9,http://www.halhigdon.com
10,http://www.hkmarathon.com
11,http://www.chicagomarathon.com
12,http://www.runningahead.com
13,http://www.tcsnycmarathon.org
14,http://www.greatrun.org
15,http://www.brianmac.co.uk
16,http://www.irunfar.com
17,http://www.marathonguide.com
18,http://www.trailrunnermag.com
19,http://www.virginmoneylondonmarathon.com
20,http://www.utmbmontblanc.com
21,http://www.raceentry.com
22,http://www.tcmevents.org
23,http://www.athletesacceleration.com
24,http://www.runczech.com
25,http://www.ultrarunning.com
26,http://www.koeln-marathon.de
27,http://www.marinemarathon.com
28,http://www.philadelphiamarathon.com
29,http://www.bmovanmarathon.ca
30,http://www.lamarathon.com
31,http://www.chicagohalfmarathon.com
32,http://www.hartfordmarathon.com
33,http://www.girlsontherun.org
34,http://www.sseairtricitydublinmarathon.ie
35,http://www.wser.org
36,http://www.jungfrau-marathon.ch
37,http://www.tcsamsterdammarathon.nl
38,http://www.grandmasmarathon.com
39,http://www.atlantatrackclub.org
40,http://www.athensauthenticmarathon.gr
41,http://www.sub5.com
42,http://www.marathontours.com
43,http://www.melbournemarathon.com.au
44,http://www.wasatch100.com
45,http://www.srichinmoyraces.org
46,http://www.tullyrunners.com
47,http://www.naganomarathon.gr.jp
48,http://www.trailrunner.com
49,http://www.thephoenixmarathon.com
