,Link
0,http://www.isu.org
1,http://www.skatecanada.ca
2,http://www.chemocare.com
3,http://www.goldenskate.com
4,http://www.fsuniverse.net
5,http://www.wftda.com
6,http://www.rosecityrollers.com
7,http://www.usfsa.org
8,http://www.thepncarena.com
9,http://www.rollerclub.ru
10,http://www.xlcenter.com
11,http://www.fs-gossips.com
12,http://www.be-mag.com
13,http://www.ice-dance.com
14,http://www.hcamarathon.dk
15,http://www.ifsmagazine.com
16,http://www.xtremeskater.com
17,http://www.hammercityrollergirls.ca
18,http://www.richmondoval.ca
19,http://www.oakspark.com
20,http://www.bigeasyrollergirls.com
21,http://www.speedskating.ca
22,http://www.richmondskating.com
23,http://www.skategroove.com
24,http://www.skatinginbc.com
25,http://www.ohiorollergirls.com
26,http://www.classicfuncenter.com
27,http://www.kurtfiles.com
28,http://www.memorialcoliseum.com
29,http://www.speedskatingresults.com
30,http://www.torontocricketclub.com
31,http://www.iceskating.org.uk
32,http://www.londoninlinemarathon.com
33,http://www.londonspeedskaters.com
34,http://www.usarollersports.org
35,http://www.holidayonice.com
36,http://www.northshoreinline.com
37,http://www.pari-roller.com
38,http://www.uscellularcenterasheville.com
39,http://www.gothamgirlsrollerderby.com
40,http://www.centraltorontoskating.com
41,http://www.rollergirl.ca
42,http://www.derbydevils.com
43,http://www.denverrollerderby.org
44,http://www.macquarieicerink.com.au
45,http://www.moonlightrollerway.com
46,http://www.oval.ucalgary.ca
47,http://www.skateland.com
48,http://www.skatecoquitlam.com
49,http://www.starsonice.com
