,Link,Name
,,
0,https://www.alexa.com/topsites/category/Top/Computers/Algorithms,Algorithms
1,https://www.alexa.com/topsites/category/Top/Computers/Artificial_Intelligence,Artificial Intelligence
2,https://www.alexa.com/topsites/category/Top/Computers/Artificial_Life,Artificial Life
3,https://www.alexa.com/topsites/category/Top/Computers/Bulletin_Board_Systems,Bulletin Board Systems
4,https://www.alexa.com/topsites/category/Top/Computers/CAD_and_CAM,CAD and CAM
5,https://www.alexa.com/topsites/category/Top/Computers/Chats_and_Forums,Chats and Forums
6,https://www.alexa.com/topsites/category/Top/Computers/Companies,Companies
7,https://www.alexa.com/topsites/category/Top/Computers/Computer_Science,Computer Science
8,https://www.alexa.com/topsites/category/Top/Computers/Conferences,Conferences
9,https://www.alexa.com/topsites/category/Top/Computers/Consultants,Consultants
10,https://www.alexa.com/topsites/category/Top/Computers/Data_Communications,Data Communications
11,https://www.alexa.com/topsites/category/Top/Computers/Data_Formats,Data Formats
12,https://www.alexa.com/topsites/category/Top/Computers/Desktop_Publishing,Desktop Publishing
13,https://www.alexa.com/topsites/category/Top/Computers/Directories,Directories
14,https://www.alexa.com/topsites/category/Top/Computers/E-Books,E-Books
15,https://www.alexa.com/topsites/category/Top/Computers/Education,Education
16,https://www.alexa.com/topsites/category/Top/Computers/Emulators,Emulators
17,https://www.alexa.com/topsites/category/Top/Computers/Ethics,Ethics
18,"https://www.alexa.com/topsites/category/Top/Computers/FAQs,_Help,_and_Tutorials","FAQs, Help, and Tutorials"
19,https://www.alexa.com/topsites/category/Top/Computers/Graphics,Graphics
20,https://www.alexa.com/topsites/category/Top/Computers/Hacking,Hacking
21,https://www.alexa.com/topsites/category/Top/Computers/Hardware,Hardware
22,https://www.alexa.com/topsites/category/Top/Computers/History,History
23,https://www.alexa.com/topsites/category/Top/Computers/Home_Automation,Home Automation
24,https://www.alexa.com/topsites/category/Top/Computers/Human-Computer_Interaction,Human-Computer Interaction
25,https://www.alexa.com/topsites/category/Top/Computers/Internet,Internet
26,https://www.alexa.com/topsites/category/Top/Computers/Intranet,Intranet
27,https://www.alexa.com/topsites/category/Top/Computers/Mailing_Lists,Mailing Lists
28,https://www.alexa.com/topsites/category/Top/Computers/Mobile_Computing,Mobile Computing
29,https://www.alexa.com/topsites/category/Top/Computers/Multimedia,Multimedia
30,https://www.alexa.com/topsites/category/Top/Computers/News_and_Media,News and Media
31,https://www.alexa.com/topsites/category/Top/Computers/Open_Source,Open Source
32,https://www.alexa.com/topsites/category/Top/Computers/Organizations,Organizations
33,https://www.alexa.com/topsites/category/Top/Computers/Parallel_Computing,Parallel Computing
34,https://www.alexa.com/topsites/category/Top/Computers/Performance_and_Capacity,Performance and Capacity
35,https://www.alexa.com/topsites/category/Top/Computers/Programming,Programming
36,https://www.alexa.com/topsites/category/Top/Computers/Robotics,Robotics
37,https://www.alexa.com/topsites/category/Top/Computers/Security,Security
38,https://www.alexa.com/topsites/category/Top/Computers/Shopping,Shopping
39,https://www.alexa.com/topsites/category/Top/Computers/Software,Software
40,https://www.alexa.com/topsites/category/Top/Computers/Speech_Technology,Speech Technology
41,https://www.alexa.com/topsites/category/Top/Computers/Supercomputing,Supercomputing
42,https://www.alexa.com/topsites/category/Top/Computers/Systems,Systems
43,https://www.alexa.com/topsites/category/Top/Computers/Usenet,Usenet
44,https://www.alexa.com/topsites/category/Top/Computers/Virtual_Reality,Virtual Reality
