,Link,Name
,,
0,https://www.alexa.com/topsites/category/Top/News/Alternative,Alternative
1,https://www.alexa.com/topsites/category/Top/News/Analysis_and_Opinion,Analysis and Opinion
2,https://www.alexa.com/topsites/category/Top/News/Breaking_News,Breaking News
3,https://www.alexa.com/topsites/category/Top/News/By_Category,By Category
4,https://www.alexa.com/topsites/category/Top/News/By_Region,By Region
5,https://www.alexa.com/topsites/category/Top/News/By_Subject,By Subject
6,https://www.alexa.com/topsites/category/Top/News/Chats_and_Forums,Chats and Forums
7,https://www.alexa.com/topsites/category/Top/News/Colleges_and_Universities,Colleges and Universities
8,https://www.alexa.com/topsites/category/Top/News/Current_Events,Current Events
9,https://www.alexa.com/topsites/category/Top/News/Directories,Directories
10,https://www.alexa.com/topsites/category/Top/News/Extended_Coverage,Extended Coverage
11,https://www.alexa.com/topsites/category/Top/News/Headline_Links,Headline Links
12,https://www.alexa.com/topsites/category/Top/News/Internet_Broadcasts,Internet Broadcasts
13,https://www.alexa.com/topsites/category/Top/News/Journalism,Journalism
14,https://www.alexa.com/topsites/category/Top/News/Magazines_and_E-zines,Magazines and E-zines
15,https://www.alexa.com/topsites/category/Top/News/Media_Industry,Media Industry
16,https://www.alexa.com/topsites/category/Top/News/Museums_and_Archives,Museums and Archives
17,https://www.alexa.com/topsites/category/Top/News/Newspapers,Newspapers
18,https://www.alexa.com/topsites/category/Top/News/Personalized_News,Personalized News
19,https://www.alexa.com/topsites/category/Top/News/Satire,Satire
20,https://www.alexa.com/topsites/category/Top/News/Weather,Weather
21,https://www.alexa.com/topsites/category/Top/News/Weblogs,Weblogs
