,Link
0,http://www.google.com
1,http://www.google.bg
2,http://www.abv.bg
3,http://www.wikipedia.org
4,http://www.vesti.bg
5,http://www.dir.bg
6,http://www.blitz.bg
7,http://www.vbox7.com
8,http://www.sportal.bg
9,http://www.bg-mamma.com
10,http://www.alo.bg
11,http://www.dnes.bg
12,http://www.mobile.bg
13,http://www.jobs.bg
14,http://www.cars.bg
15,http://www.mail.bg
16,http://www.dnevnik.bg
17,http://www.imperiaonline.org
18,http://www.dariknews.bg
19,http://www.fibank.bg
20,http://www.bnt.bg
21,http://www.pazaruvaj.com
22,http://www.gbg.bg
23,http://www.btv.bg
24,http://www.pik.bg
25,http://www.novini.bg
26,http://www.rbb.bg
27,http://www.epay.bg
28,http://www.government.bg
29,http://www.topsport.bg
30,http://www.segabg.com
31,http://www.krokotak.com
32,http://www.mediapool.bg
33,http://www.kaldata.com
34,http://www.imot.bg
35,http://www.moreto.net
36,http://www.gepime.com
37,http://www.uni-sofia.bg
38,http://www.plovdiv24.bg
39,http://www.investor.bg
40,http://www.capital.bg
41,http://www.photo-forum.net
42,http://www.elmaz.com
43,http://www.vivacom.bg
44,http://www.gospodari.com
45,http://www.bnr.bg
46,http://www.hardwarebg.com
47,http://www.ozone.bg
48,http://www.speedy.bg
49,http://www.toto.bg
