,Link
0,http://www.google.com
1,http://www.bing.com
2,http://www.gva.es
3,http://www.bancsabadell.com
4,http://www.outlook.com
5,http://www.bankia.es
6,http://www.gencat.cat
7,http://www.hattrick.org
8,http://www.vueling.com
9,http://www.ccma.cat
10,http://www.renfe.com
11,http://www.xtec.cat
12,http://www.malavida.com
13,http://www.uv.es
14,http://www.wikipedia.org
15,http://www.ub.edu
16,http://www.gva.es
17,http://www.ua.es
18,http://www.upv.es
19,http://www.upc.edu
20,http://www.cajamar.es
21,http://www.boe.es
22,http://www.uoc.edu
23,http://www.uab.cat
24,http://www.marxists.org
25,http://www.ara.cat
26,http://www.vilaweb.cat
27,http://www.google.cat
28,http://www.barcelona.cat
29,http://www.google.com
30,http://www.softcatala.org
31,http://www.gencat.cat
32,http://www.uji.es
33,http://www.google.ad
34,http://www.diba.cat
35,http://www.mercadona.es
36,http://www.upf.edu
37,http://www.meteo.cat
38,http://www.naciodigital.cat
39,http://www.efe.com
40,http://www.umh.es
41,http://www.san.gva.es
42,http://www.elmon.cat
43,http://www.fcf.cat
44,http://www.botanical-online.com
45,http://www.eae.es
46,http://www.edu365.cat
47,http://www.udg.edu
48,http://www.alchimiaweb.com
49,http://www.servihabitat.com
