,Link
0,http://www.cardiff.ac.uk
1,http://www.bangor.ac.uk
2,http://www.carmarthenshire.gov.uk
3,http://www.flintshire.gov.uk
4,http://www.colegsirgar.ac.uk
5,http://www.wales.nhs.uk
6,http://www.royal.gov.uk
7,http://www.geiriadur.net
8,http://www.conwy.gov.uk
9,http://www.llgc.org.uk
10,http://www.denbighshire.gov.uk
11,http://www.mwldan.co.uk
12,http://www.churchinwales.org.uk
13,http://www.londonwelsh.org
14,http://www.ceredigion.gov.uk
15,http://www.welsh-blood.org.uk
16,http://www.cerddystwyth.co.uk
17,http://www.botanicgarden.wales
18,http://www.cbac.co.uk
19,http://www.rcahmw.gov.uk
20,http://www.fuw.org.uk
21,http://www.ceredigion.ac.uk
22,http://www.mantellgwynedd.com
23,http://www.geiriadur.ac.uk
24,http://www.archiveswales.org.uk
25,http://www.discoverceredigion.co.uk
26,http://www.plaid.cymru
27,http://www.mawwfire.gov.uk
28,http://www.cadwyngifts.com
29,http://www.gwales.com
30,http://www.atebion.co.uk
31,http://www.gomer.co.uk
32,http://www.eisteddfod.org.uk
33,http://www.cllc.org.uk
34,http://www.portmeirion-village.com
35,http://www.nwales-fireservice.org.uk
36,http://www.llangynfelyn.org
37,http://www.cymru.gov.uk
38,http://www.menterabusnes.co.uk
39,http://www.acen.co.uk
40,http://www.nantgwrtheyrn.org
41,http://www.fairtradewales.com
42,http://www.cyswllt.sourceforge.net
43,http://www.welsh.wunderground.com
44,http://www.llyfrgell.cf.ac.uk
45,http://www.welshforadults.cardiff.ac.uk
46,http://www.northwalesruc.pitchero.com
47,http://www.clonc.btck.co.uk
48,http://www.ahne-llyn-aonb.org
49,http://www.amgueddfa.cymru
