,Link
0,http://www.google.dk
1,http://www.europa.eu
2,http://www.ryanair.com
3,http://www.easyjet.com
4,http://www.dr.dk
5,http://www.wikipedia.org
6,http://www.billigvoks.dk
7,http://www.ekstrabladet.dk
8,http://www.mcafee.com
9,http://www.hattrick.org
10,http://www.dba.dk
11,http://www.bt.dk
12,http://www.debian.org
13,http://www.sas.com
14,http://www.tnt.com
15,http://www.ku.dk
16,http://www.tv2.dk
17,http://www.au.dk
18,http://www.dtu.dk
19,http://www.kpmg.com
20,http://www.emu.dk
21,http://www.aau.dk
22,http://www.politiken.dk
23,http://www.sdu.dk
24,http://www.dmi.dk
25,http://www.elgiganten.dk
26,http://www.dpd.com
27,http://www.nordea.dk
28,http://www.danskebank.dk
29,http://www.pricerunner.dk
30,http://www.cbs.dk
31,http://www.hasbro.com
32,http://www.jobnet.dk
33,http://www.bold.dk
34,http://www.rejseplanen.dk
35,http://www.yamaha-motor.eu
36,http://www.maersk.com
37,http://www.komplett.dk
38,http://www.just-eat.dk
39,http://www.jobindex.dk
40,http://www.bilbasen.dk
41,http://www.gyldendal.dk
42,http://www.systime.dk
43,http://www.krak.dk
44,http://www.denstoredanske.dk
45,http://www.skat.dk
46,http://www.lexmark.com
47,http://www.jyskebank.dk
48,http://www.ecb.europa.eu
49,http://www.proshop.dk
