,Link
0,http://www.postimees.ee
1,http://www.delfi.ee
2,http://www.swedbank.ee
3,http://www.auto24.ee
4,http://www.okidoki.ee
5,http://www.ut.ee
6,http://www.err.ee
7,http://www.seb.ee
8,http://www.neti.ee
9,http://www.ohtuleht.ee
10,http://www.eki.ee
11,http://www.ttu.ee
12,http://www.tallinn.ee
13,http://www.lhv.ee
14,http://www.emta.ee
15,http://www.zone.ee
16,http://www.tv3.ee
17,http://www.photopoint.ee
18,http://www.kuldnebors.ee
19,http://www.tele2.ee
20,http://www.err.ee
21,http://www.nvtc.ee
22,http://www.ilm.ee
23,http://www.postimees.ee
24,http://www.riigiteataja.ee
25,http://www.itcollege.ee
26,http://www.on24.ee
27,http://www.tallink.ee
28,http://www.soccernet.ee
29,http://www.tartu.ee
30,http://www.rate.ee
31,http://www.maaamet.ee
32,http://www.veebimajutus.ee
33,http://www.stv.ee
34,http://www.politsei.ee
35,http://www.astri.ee
36,http://www.tktk.ee
37,http://www.estravel.ee
38,http://www.narva.ee
39,http://www.sky.ee
40,http://www.itk.ee
41,http://www.kliinikum.ee
42,http://www.kriso.ee
43,http://www.haigekassa.ee
44,http://www.hm.ee
45,http://www.tavid.ee
46,http://www.kliinik.ee
47,http://www.vikerraadio.err.ee
48,http://www.surfhouse.ee
49,http://www.omaraha.ee
