,Link
0,http://www.omropfryslan.nl
1,http://www.fryslan.frl
2,http://www.fryske-akademy.nl
3,http://www.aaipop.nl
4,http://www.demoanne.nl
5,http://www.fryskebeweging.frl
6,http://www.stadigestrikers.nl
7,http://www.bernlef.frl
8,http://www.fnp.frl
9,http://www.fnp-smellingerlan.nl
10,http://www.friesdammen.nl
11,http://www.friesgenootschap.nl
12,http://www.shop.frl
13,http://www.fyk.nl
14,http://www.goedfrysk.nl
15,http://www.heitenmem.nl
16,http://www.jitiizer.frl
17,http://www.joopboomsma.nl
18,http://www.natuurmuseumfryslan.nl
19,http://www.praatmarfrysk.nl
20,http://www.registreer.frl
21,http://www.fryskenfrij.nl
22,http://www.veenstrafritom.nl
23,http://www.mookart.nl
