,Link
0,http://www.openoffice.org
1,http://www.wikipedia.org
2,http://www.meteo.fvg.it
3,http://www.ondefurlane.eu
4,http://www.serling.org
5,http://www.sanita.fvg.it
6,http://www.sanita.fvg.it
7,http://www.colonos.it
8,http://www.sandricarrozzo.blogspot.com
9,http://www.buteghesviertes.net
10,http://www.cjargne.it
11,http://www.claap.org
12,http://www.com482.altervista.org
13,http://www.friulicollinare.it
14,http://www.consorziocastelli.it
15,http://www.doganavecchia.it
16,http://www.donneincarnia.it
17,http://www.eltomat.it
18,http://www.friul.net
19,http://www.friulpoint.it
20,http://www.furlans.blogspot.com
21,http://www.glesiefurlane.it
22,http://www.glesiefurlane.org
23,http://www.folkcapriva.it
24,http://www.gnognosaurs.blogspot.com
25,http://www.ilcrot.blogspot.com
26,http://www.archeofurlane.blogspot.com
27,http://www.internazionalitari.blogspot.com
28,http://www.istitutladinfurlan.it
29,http://www.cm-torrenatisonecollio.it
30,http://www.lagrame.it
31,http://www.janezerat.blogspot.com
32,http://www.lapatriedalfriul.org
33,http://www.mandifrus.blogspot.com
34,http://www.pinsirs.blogspot.com
35,http://www.rivocfurlan.tripod.com
36,http://www.softfurlan.altervista.org
37,http://www.furlansdibaviere.blogspot.com
38,http://www.tonimerlot.it
39,http://www.christianromanini.blogspot.com
40,http://www.videotelecarnia.it
41,http://www.vosdemont.it
