,Link
0,http://www.tg4.ie
1,http://www.daltai.com
2,http://www.forasnagaeilge.ie
3,http://www.cnag.ie
4,http://www.udaras.ie
5,http://www.cic.ie
6,http://www.fuaimeanna.ie
7,http://www.gael-linn.ie
8,http://www.spleodar.com
9,http://www.gaelchultur.com
10,http://www.ceacht.ie
11,http://www.ceantar.org
12,http://www.litriocht.com
13,http://www.irish-sayings.com
14,http://www.antoireachtas.ie
15,http://www.gaelport.com
16,http://www.coislife.ie
17,http://www.raidionalife.ie
18,http://www.antaibhdhearc.com
19,http://www.clubleabhar.com
20,http://www.naomhanna.ie
21,http://www.anclub.ie
22,http://www.dias.ie
23,http://www.egt.ie
24,http://www.leabhar.com
25,http://www.abair.ie
26,http://www.abhus.com
27,http://www.beo.ie
28,http://www.leabhar.ie
29,http://www.coisceim.ie
30,http://www.uibhrathach.ie
31,http://www.cumanngaelachnaheaglaise.blogspot.com
32,http://www.ealain.ie
33,http://www.fibin.com
34,http://www.gaelghra.tripod.com
35,http://www.imram.ie
36,http://www.mentorgaeilge.ie
37,http://www.cnocadoiri.com
38,http://www.scribhinn.org
39,http://www.seannosbeo.ie
40,http://www.tobar.ie
41,http://www.udar.ie
42,http://www.eigse.ie
43,http://www.ogras.ie
