,Link
0,http://www.google.co.il
1,http://www.ynet.co.il
2,http://www.walla.co.il
3,http://www.wikipedia.org
4,http://www.bankhapoalim.co.il
5,http://www.bankleumi.co.il
6,http://www.haaretz.co.il
7,http://www.zap.co.il
8,http://www.sport5.co.il
9,http://www.one.co.il
10,http://www.morfix.co.il
11,http://www.walla.co.il
12,http://www.themarker.com
13,http://www.globes.co.il
14,http://www.rotter.net
15,http://www.tau.ac.il
16,http://www.huji.ac.il
17,http://www.walla.co.il
18,http://www.ksp.co.il
19,http://www.education.gov.il
20,http://www.israelhayom.co.il
21,http://www.inn.co.il
22,http://www.cet.ac.il
23,http://www.technion.ac.il
24,http://www.clalit.org.il
25,http://www.discountbank.co.il
26,http://www.lametayel.co.il
27,http://www.fibi.co.il
28,http://www.elal.co.il
29,http://www.weizmann.ac.il
30,http://www.d.co.il
31,http://www.wallashops.co.il
32,http://www.ivory.co.il
33,http://www.bezeq.co.il
34,http://www.hidabroot.org
35,http://www.b144.co.il
36,http://www.ikea.co.il
37,http://www.friends.walla.co.il
38,http://www.nana10.co.il
39,http://www.bizportal.co.il
40,http://www.kafe.co.il
41,http://www.sokker.org
42,http://www.alljobs.co.il
43,http://www.hot.net.il
44,http://www.onehourtranslation.com
45,http://www.gulliver.co.il
46,http://www.bankotsar.co.il
47,http://www.games.yo-yoo.co.il
48,http://www.openu.ac.il
49,http://www.meuhedet.co.il
