,Link
0,http://www.google.co.kr
1,http://www.daum.net
2,http://www.daum.net
3,http://www.auction.co.kr
4,http://www.donga.com
5,http://www.nate.com
6,http://www.joins.com
7,http://www.chosun.com
8,http://www.danawa.com
9,http://www.interpark.com
10,http://www.fmkorea.com
11,http://www.yonhapnews.co.kr
12,http://www.yes24.com
13,http://www.cafe24.com
14,http://www.khan.co.kr
15,http://www.hani.co.kr
16,http://www.sbs.co.kr
17,http://www.mk.co.kr
18,http://www.jobkorea.co.kr
19,http://www.saramin.co.kr
20,http://www.kbs.co.kr
21,http://www.hankyung.com
22,http://www.musinsa.com
23,http://www.naver.com
24,http://www.singaporeair.com
25,http://www.musinsa.com
26,http://www.mt.co.kr
27,http://www.kyobobook.co.kr
28,http://www.openstreetmap.org
29,http://www.ohmynews.com
30,http://www.geogebra.org
31,http://www.snu.ac.kr
32,http://www.imbc.com
33,http://www.pusan.ac.kr
34,http://www.kmplayer.com
35,http://www.yonsei.ac.kr
36,http://www.ytn.co.kr
37,http://www.enuri.com
38,http://www.korea.ac.kr
39,http://www.movie.daum.net
40,http://www.software.naver.com
41,http://www.epost.go.kr
42,http://www.sports.chosun.com
43,http://www.kaist.ac.kr
44,http://www.sedaily.com
45,http://www.siren24.com
46,http://www.zdnet.co.kr
47,http://www.news.sbs.co.kr
48,http://www.cgv.co.kr
49,http://www.flyasiana.com
