,Link
0,http://www.facebook.com
1,http://www.google.com
2,http://www.twitter.com
3,http://www.vk.com
4,http://www.yandex.ru
5,http://www.linkedin.com
6,http://www.mail.ru
7,http://www.google.ru
8,http://www.ebay.com
9,http://www.bing.com
10,http://www.wikipedia.org
11,http://www.google.com
12,http://www.avito.ru
13,http://www.google.com
14,http://www.google.com
15,http://www.yandex.ru
16,http://www.yandex.ru
17,http://www.blogger.com
18,http://www.savefrom.net
19,http://www.speedtest.net
20,http://www.duckduckgo.com
21,http://www.battle.net
22,http://www.kinopoisk.ru
23,http://www.hp.com
24,http://www.microsoft.com
25,http://www.olx.ua
26,http://www.samsung.com
27,http://www.gismeteo.ru
28,http://www.sberbank.ru
29,http://www.mail.ru
30,http://www.mail.ru
31,http://www.skype.com
32,http://www.ria.ru
33,http://www.fedex.com
34,http://www.gosuslugi.ru
35,http://www.rutube.ru
36,http://www.lenta.ru
37,http://www.news.rambler.ru
38,http://www.drom.ru
39,http://www.wattpad.com
40,http://www.market.yandex.ru
41,http://www.utorrent.com
42,http://www.drive2.ru
43,http://www.rbc.ru
44,http://www.jw.org
45,http://www.coursera.org
46,http://www.fishki.net
47,http://www.yaplakal.com
48,http://www.ea.com
49,http://www.kp.ru
