,Link
0,http://www.visir.is
1,http://www.hi.is
2,http://www.ruv.is
3,http://www.landsbankinn.is
4,http://www.fotbolti.net
5,http://www.vedur.is
6,http://www.ru.is
7,http://www.islandsbanki.is
8,http://www.rsk.is
9,http://www.ikea.is
10,http://www.arnastofnun.is
11,http://www.reykjavik.is
12,http://www.vegagerdin.is
13,http://www.unak.is
14,http://www.althingi.is
15,http://www.icelandair.is
16,http://www.siminn.is
17,http://www.visindavefur.is
18,http://www.ksi.is
19,http://www.postur.is
20,http://www.sambio.is
21,http://www.vodafone.is
22,http://www.kvikmyndir.is
23,http://www.tollur.is
24,http://www.bifrost.is
25,http://www.harpa.is
26,http://www.husa.is
27,http://www.efta.int
28,http://www.bjork.com
29,http://www.fa.is
30,http://www.vr.is
31,http://www.landspitali.is
32,http://www.lin.is
33,http://www.snerpa.is
34,http://www.bb.is
35,http://www.kopavogur.is
36,http://www.brimborg.is
37,http://www.computer.is
38,http://www.atlanta.is
39,http://www.textavarp.is
40,http://www.hekla.is
41,http://www.samskip.is
42,http://www.ht.is
43,http://www.akureyri.is
44,http://www.leit.is
45,http://www.skogur.is
46,http://www.endurmenntun.is
47,http://www.fiskistofa.is
48,http://www.bhm.is
49,http://www.bl.is
