,Link
0,http://www.archdaily.com
1,http://www.skyscrapercity.com
2,http://www.architecturaldigest.com
3,http://www.archinect.com
4,http://www.dwell.com
5,http://www.unesco.org
6,http://www.skyscraperpage.com
7,http://www.dot.gov
8,http://www.getjobber.com
9,http://www.architectmagazine.com
10,http://www.asla.org
11,http://www.sagradafamilia.org
12,http://www.tinyhousetalk.com
13,http://www.risd.edu
14,http://www.chateauversailles.fr
15,http://www.ncarb.org
16,http://www.aia.org
17,http://www.biltmore.com
18,http://www.harvard.edu
19,http://www.tpsgc-pwgsc.gc.ca
20,http://www.hermitagemuseum.org
21,http://www.shakespearesglobe.com
22,http://www.ethz.ch
23,http://www.cinematreasures.org
24,http://www.hrp.org.uk
25,http://www.emaar.com
26,http://www.segd.org
27,http://www.esbnyc.com
28,http://www.domusweb.it
29,http://www.architecture.com
30,http://www.fosterandpartners.com
31,http://www.courtauld.ac.uk
32,http://www.architecturalrecord.com
33,http://www.architectural-review.com
34,http://www.aaschool.ac.uk
35,http://www.metropolismag.com
36,http://www.worldarchitecture.org
37,http://www.archnet.org
38,http://www.e-architect.co.uk
39,http://www.cement.org
40,http://www.neuschwanstein.de
41,http://www.evolo.us
42,http://www.thevenusproject.com
43,http://www.westminster-abbey.org
44,http://www.architecture.mit.edu
45,http://www.bk.tudelft.nl
46,http://www.burjkhalifa.ae
47,http://www.aasarchitecture.com
48,http://www.pps.org
49,http://www.schoenbrunn.at
