,Link
0,http://www.intel.com
1,http://www.unity.com
2,http://www.amd.com
3,http://www.ti.com
4,http://www.siemens.com
5,http://www.panasonic.com
6,http://www.digikey.com
7,http://www.mouser.com
8,http://www.ni.com
9,http://www.schneider-electric.com
10,http://www.farnell.com
11,http://www.abb.com
12,http://www.st.com
13,http://www.analog.com
14,http://www.trimble.com
15,http://www.realtek.com.tw
16,http://www.xilinx.com
17,http://www.siemens.com
18,http://www.nxp.com
19,http://www.ul.com
20,http://www.isd.com
21,http://www.apc.com
22,http://www.ieee.org
23,http://www.arrow.com
24,http://www.onsemi.com
25,http://www.emerson.com
26,http://www.newark.com
27,http://www.electronicsforu.com
28,http://www.infineon.com
29,http://www.nec.com
30,http://www.agilent.com
31,http://www.cypress.com
32,http://www.alliedelec.com
33,http://www.omega.com
34,http://www.broadcom.com
35,http://www.renesas.com
36,http://www.fluke.com
37,http://www.phoenixcontact.com
38,http://www.nfpa.org
39,http://www.vishay.com
40,http://www.danfoss.com
41,http://www.ifm.com
42,http://www.findchips.com
43,http://www.avnet.com
44,http://www.ab.rockwellautomation.com
45,http://www.sick.com
46,http://www.jameco.com
47,http://www.sourceesb.com
48,http://www.murata.com
49,http://www.ecmweb.com
