,Link
0,http://www.dominos.com
1,http://www.starbucks.com
2,http://www.amadeus.com
3,http://www.papajohns.com
4,http://www.pizzahut.com
5,http://www.panerabread.com
6,http://www.synxis.com
7,http://www.mcdonalds.com
8,http://www.webstaurantstore.com
9,http://www.subway.com
10,http://www.tacobell.com
11,http://www.jimmyjohns.com
12,http://www.dominos.com.au
13,http://www.chipotle.com
14,http://www.chick-fil-a.com
15,http://www.dominos.co.uk
16,http://www.iata.org
17,http://www.dominos.ca
18,http://www.passkey.com
19,http://www.wendys.com
20,http://www.olivegarden.com
21,http://www.travelport.com
22,http://www.buffalowildwings.com
23,http://www.dunkindonuts.com
24,http://www.sabre.com
25,http://www.bk.com
26,http://www.chilis.com
27,http://www.wingstop.com
28,http://www.applebees.com
29,http://www.marcos.com
30,http://www.artinstitutes.edu
31,http://www.kfc.com
32,http://www.jerseymikes.com
33,http://www.unwto.org
34,http://www.papamurphys.com
35,http://www.pandaexpress.com
36,http://www.sweetgreen.com
37,http://www.yum.com
38,http://www.timhortons.com
39,http://www.littlecaesars.com
40,http://www.crackerbarrel.com
41,http://www.thecheesecakefactory.com
42,http://www.redrobin.com
43,http://www.microworks.com
44,http://www.redlobster.com
45,http://www.ihop.com
46,http://www.gfs.com
47,http://www.sonicdrivein.com
48,http://www.jetspizza.com
49,http://www.popeyes.com
