,Link
0,http://www.thomsonreuters.com
1,http://www.oclc.org
2,http://www.emis.com
3,http://www.factiva.com
4,http://www.perma-bound.com
5,http://www.infotoday.com
6,http://www.crif.com
7,http://www.btol.com
8,http://www.btsb.com
9,http://www.interfax.com
10,http://www.outsellinc.com
11,http://www.unique-mgmt.com
12,http://www.acmebinding.com
13,http://www.aiip.org
14,http://www.infobroker.de
15,http://www.inft.net
16,http://www.bnbindery.com
17,http://www.harrassowitz.de
18,http://www.longs-roullet.com
19,http://www.accessinn.com
20,http://www.librarybound.com
21,http://www.gumdropbooks.com
22,http://www.aracontent.com
23,http://www.s2company.com
24,http://www.data-search.com
25,http://www.batesinfo.com
26,http://www.booksforlibraries.com
27,http://www.newshare.com
28,http://www.hfgroup.com
29,http://www.access-inform.com
30,http://www.bibliaff.com
31,http://www.blackwell.com
32,http://www.bluehighways.com
33,http://www.couttsinfo.com
34,http://www.currentanalysis.com
35,http://www.dawson.co.uk
36,http://www.dialog.com
37,http://www.emery-pratt.com
38,http://www.ibt-pep.com
39,http://www.justthefacts.com
40,http://www.majormedia.co.uk
41,http://www.midwestls.com
42,http://www.nobleventures.com
43,http://www.orderpoint.com
44,http://www.press-cuttings.com
45,http://www.regentbook.com
46,http://www.sanval.com
47,http://www.tapededitions.com
48,http://www.telvent.com
49,http://www.unitedmedia.com
