,Link
0,http://www.google.com
1,http://www.youtube.com
2,http://www.google.com
3,http://www.facebook.com
4,http://www.yahoo.com
5,http://www.google.com
6,http://www.twitter.com
7,http://www.wikipedia.org
8,http://www.yahoo.com
9,http://www.linkedin.com
10,http://www.yahoo.com
11,http://www.office.com
12,http://www.microsoft.com
13,http://www.bing.com
14,http://www.msn.com
15,http://www.wordpress.com
16,http://www.apple.com
17,http://www.tumblr.com
18,http://www.stackoverflow.com
19,http://www.paypal.com
20,http://www.wikia.com
21,http://www.imgur.com
22,http://www.github.com
23,http://www.adobe.com
24,http://www.pinterest.com
25,http://www.dropbox.com
26,http://www.google.com
27,http://www.soundcloud.com
28,http://www.ask.com
29,http://www.salesforce.com
30,http://www.google.com
31,http://www.vimeo.com
32,http://www.mozilla.org
33,http://www.slideshare.net
34,http://www.mediafire.com
35,http://www.cnet.com
36,http://www.godaddy.com
37,http://www.wikihow.com
38,http://www.scribd.com
39,http://www.support.microsoft.com
40,http://www.blogger.com
41,http://www.livejournal.com
42,http://www.mega.nz
43,http://www.speedtest.net
44,http://www.trello.com
45,http://www.duckduckgo.com
46,http://www.blackboard.com
47,http://www.archive.org
48,http://www.xfinity.com
49,http://www.myway.com
