,Link
0,http://www.biomimicry.org
1,http://www.electricsheep.org
2,http://www.swarmintelligence.org
3,http://www.algorithmicbotany.org
4,http://www.biomimicry.net
5,http://www.epfl.ch
6,http://www.sourceforge.net
7,http://www.ventrella.com
8,http://www.swarm.org
9,http://www.msu.edu
10,http://www.alife.org
11,http://www.agentbuilder.com
12,http://www.ddlab.com
13,http://www.particleswarm.info
14,http://www.tim-taylor.com
15,http://www.mirekw.com
16,http://www.pentadecathlon.com
17,http://www.sourceforge.net
18,http://www.sourceforge.net
19,http://www.sourceforge.net
20,http://www.sourceforge.net
21,http://www.sourceforge.net
22,http://www.sourceforge.net
23,http://www.sourceforge.net
24,http://www.mit.edu
25,http://www.umn.edu
26,http://www.iastate.edu
27,http://www.ntnu.no
28,http://www.lip6.fr
29,http://www.aibits.com
30,http://www.alife.net
31,http://www.artificial-life.com
32,http://www.biota.org
33,http://www.cafun.de
34,http://www.computelligence.org
35,http://www.digitalpoiesis.org
36,http://www.netplay.com.au
37,http://www.imagination-engines.com
38,http://www.isab.org.uk
39,http://www.alife.co.uk
40,http://www.cell-auto.com
41,http://www.nearlife.com
42,http://www.iterated-prisoners-dilemma.net
43,http://www.prisonersdilemma.groenefee.nl
44,http://www.qflux.org
45,http://www.moshesipper.com
46,http://www.mimetics.com
